,bigram,word1,word2,totalRepetitions,fileOcurrences,weight
2285,"('i', 'am')",i,am,1075,218,90.97437888198758
1395,"('do', 'not')",do,not,639,169,41.921972049689444
2486,"('it', ""'s"")",it,'s,567,174,38.29891304347826
6134,"('you', 'are')",you,are,524,154,31.32608695652174
2423,"('in', 'the')",in,the,448,162,28.17391304347826
996,"('can', 'not')",can,not,360,132,18.4472049689441
2376,"('i', 'will')",i,will,323,115,14.419642857142858
436,"('and', 'i')",and,i,256,120,11.925465838509316
2295,"('i', 'can')",i,can,263,94,9.597049689440993
2314,"('i', 'have')",i,have,218,87,7.362577639751553
2302,"('i', 'do')",i,do,201,76,5.930124223602484
5272,"('to', 'be')",to,be,176,78,5.329192546583851
3779,"('on', 'the')",on,the,157,87,5.302406832298137
5715,"('want', 'to')",want,to,200,60,4.658385093167702
1984,"('going', 'to')",going,to,187,61,4.428183229813665
5785,"('we', 'are')",we,are,204,55,4.355590062111801
5929,"('will', 'not')",will,not,157,64,3.900621118012422
6192,"('you', 'know')",you,know,154,64,3.8260869565217392
2390,"('if', 'you')",if,you,178,53,3.6622670807453415
5865,"('when', 'you')",when,you,165,57,3.6510093167701863
6151,"('you', 'can')",you,can,151,56,3.282608695652174
3703,"('of', 'the')",of,the,121,69,3.2410714285714284
927,"('but', 'i')",but,i,130,64,3.229813664596273
5909,"('will', 'be')",will,be,128,62,3.080745341614907
6268,"('you', 'will')",you,will,120,62,2.888198757763975
2323,"('i', 'know')",i,know,126,58,2.8369565217391304
4846,"('that', ""'s"")",that,'s,131,52,2.6444099378881987
4099,"('que', 'no')",que,no,119,57,2.6331521739130435
4874,"('that', 'you')",that,you,108,59,2.4736024844720497
500,"('and', 'you')",and,you,106,60,2.468944099378882
5370,"('to', 'the')",to,the,104,59,2.3819875776397517
3627,"('not', 'you')",not,you,118,51,2.3361801242236027
286,"('all', 'the')",all,the,105,57,2.323369565217391
480,"('and', 'the')",and,the,124,48,2.31055900621118
2080,"('have', 'been')",have,been,120,49,2.282608695652174
4096,"('que', 'me')",que,me,117,50,2.2709627329192545
6185,"('you', 'i')",you,i,127,46,2.267857142857143
