,word,totalRepetitions,fileOcurrences,weight
160,que,1414,143,78.4945652173913
44,de,936,142,51.59627329192546
53,el,726,134,37.765527950310556
98,la,696,133,35.93478260869565
204,time,591,138,31.660714285714285
97,know,514,149,29.7305900621118
112,lonely,859,83,27.677406832298136
108,like,421,158,25.8222049689441
196,te,491,107,20.394798136645964
54,en,437,115,19.508928571428573
145,oh,404,113,17.722049689440993
147,one,369,123,17.61917701863354
180,sin,361,118,16.536490683229815
174,see,339,124,16.31832298136646
56,es,446,94,16.274844720496894
81,got,357,117,16.214673913043477
212,tu,424,94,15.472049689440993
216,un,375,102,14.84860248447205
77,go,307,124,14.777950310559007
123,mi,372,94,13.574534161490684
73,get,347,98,13.201086956521738
238,yo,335,96,12.48447204968944
194,take,296,97,11.145962732919255
227,want,298,92,10.642857142857142
139,never,246,109,10.40916149068323
104,let,293,89,10.12305900621118
79,going,285,84,9.293478260869565
157,por,252,93,9.097826086956522
173,se,266,87,8.983695652173912
14,away,266,87,8.983695652173912
230,way,242,92,8.642857142857142
64,fall,299,74,8.589285714285714
7,amor,278,77,8.309782608695652
237,yeah,244,78,7.388198757763975
16,back,194,98,7.380434782608695
35,con,242,78,7.327639751552795
172,say,209,90,7.3020186335403725
37,could,197,90,6.88276397515528
32,come,181,95,6.675077639751553
202,ti,273,59,6.252717391304348
236,ya,204,78,6.1770186335403725
111,lo,209,76,6.166149068322981
68,feel,195,76,5.753105590062112
170,sad,254,51,5.028726708074534
141,night,195,65,4.920419254658385
165,right,159,74,4.567546583850931
113,long,179,60,4.169254658385094
85,hay,169,63,4.133152173913044
231,well,157,67,4.083462732919255
201,think,153,68,4.038819875776397
220,vida,160,62,3.8509316770186337
178,sick,236,42,3.847826086956522
138,need,156,61,3.6940993788819876
70,find,144,64,3.577639751552795
181,slow,230,40,3.5714285714285716
121,make,142,64,3.527950310559006
217,una,138,65,3.482142857142857
152,pero,141,62,3.393633540372671
42,day,138,60,3.2142857142857144
177,si,147,56,3.1956521739130435
74,girl,203,40,3.152173913043478
34,como,125,58,2.81444099378882
45,dead,143,48,2.6645962732919255
4,alone,127,54,2.6622670807453415
63,eyes,107,64,2.658385093167702
80,gone,117,57,2.5888975155279503
11,around,125,53,2.5718167701863353
161,quiero,144,46,2.5714285714285716
15,baby,138,47,2.517857142857143
2,al,121,53,2.4895186335403725
198,tell,129,49,2.453804347826087
189,still,100,62,2.406832298136646
234,would,111,55,2.3699534161490683
115,los,103,59,2.359083850931677
49,dirty,217,28,2.358695652173913
29,call,129,47,2.3536490683229814
171,said,96,62,2.31055900621118
151,para,112,52,2.260869565217391
114,look,111,51,2.1975931677018634
96,keep,115,47,2.0982142857142856
46,death,135,39,2.043866459627329
213,turn,119,43,1.986413043478261
99,las,102,50,1.9798136645962734
117,love,89,55,1.9002329192546583
140,ni,131,37,1.8815993788819876
1,ai,120,40,1.8633540372670807
158,porque,106,44,1.81055900621118
39,cuando,98,44,1.673913043478261
116,lost,91,46,1.625
125,mind,89,47,1.623835403726708
48,die,113,36,1.579192546583851
22,blind,169,24,1.5745341614906831
109,little,78,52,1.5745341614906831
218,us,99,40,1.5372670807453417
95,inside,92,43,1.5357142857142858
105,life,80,49,1.5217391304347827
6,always,81,48,1.5093167701863355
86,head,96,40,1.4906832298136645
61,every,96,40,1.4906832298136645
62,everything,96,39,1.453416149068323
179,siempre,86,42,1.4021739130434783
193,su,97,37,1.3932453416149069
221,vivir,100,35,1.358695652173913
58,esta,87,40,1.3509316770186335
103,left,73,47,1.3319099378881987
8,another,100,34,1.3198757763975155
88,heart,73,46,1.3035714285714286
143,nothing,75,44,1.281055900621118
31,cold,84,39,1.2717391304347827
156,please,107,30,1.2461180124223603
162,rain,96,33,1.2298136645962734
182,solo,79,40,1.2267080745341614
75,give,82,38,1.2096273291925466
59,estoy,78,38,1.1506211180124224
185,something,80,37,1.1490683229813665
12,asi,197,15,1.1471273291925466
106,light,67,44,1.1444099378881987
92,hold,81,36,1.1319875776397517
87,hear,71,41,1.1300465838509317
222,voy,90,31,1.0830745341614907
206,todo,74,37,1.062888198757764
89,hell,86,31,1.0349378881987579
155,place,78,34,1.029503105590062
228,waste,98,27,1.0271739130434783
55,end,80,33,1.0248447204968945
91,hey,110,24,1.0248447204968945
94,hoy,76,34,1.0031055900621118
233,world,66,39,0.9992236024844721
120,made,67,38,0.9883540372670807
203,tiempo,70,36,0.9782608695652174
144,nunca,68,37,0.9767080745341615
142,nobody,94,26,0.9487577639751553
40,cut,82,29,0.9231366459627329
100,last,74,32,0.9192546583850931
232,without,74,32,0.9192546583850931
214,tus,71,33,0.9095496894409938
126,mis,66,35,0.8967391304347826
47,del,72,32,0.8944099378881988
93,home,62,37,0.890527950310559
60,ever,57,40,0.8850931677018633
200,things,60,38,0.8850931677018633
224,waiting,84,27,0.8804347826086957
235,wrong,62,36,0.8664596273291926
210,try,67,33,0.8583074534161491
27,broken,76,29,0.8555900621118012
41,dark,81,27,0.8489906832298136
136,nadie,82,26,0.827639751552795
51,door,62,34,0.8183229813664596
110,live,77,27,0.8070652173913043
135,nada,69,30,0.8035714285714286
208,tonight,89,23,0.7946428571428571
134,más,68,30,0.7919254658385093
26,break,85,24,0.7919254658385093
195,tan,72,28,0.782608695652174
9,aquí,77,26,0.7771739130434783
150,pain,57,35,0.7744565217391305
83,hard,68,29,0.765527950310559
175,ser,68,29,0.765527950310559
137,name,88,22,0.7515527950310559
90,help,64,30,0.7453416149068323
131,much,70,27,0.7336956521739131
190,stop,75,25,0.7278726708074534
148,ooh,75,25,0.7278726708074534
21,black,72,26,0.7267080745341615
36,corazón,64,29,0.7204968944099379
146,old,56,33,0.717391304347826
82,hand,52,35,0.7065217391304348
197,tears,53,34,0.6995341614906833
84,hasta,69,26,0.6964285714285714
13,así,81,22,0.6917701863354038
66,far,61,29,0.6867236024844721
102,leave,55,32,0.6832298136645962
176,show,55,32,0.6832298136645962
225,walk,52,33,0.6661490683229814
191,street,66,26,0.6661490683229814
219,vez,61,28,0.6630434782608695
72,fue,62,27,0.6498447204968945
229,watch,64,26,0.6459627329192547
38,cry,57,29,0.6416925465838509
101,le,59,28,0.6413043478260869
223,wait,78,21,0.6358695652173914
183,somebody,70,23,0.625
18,behind,55,29,0.6191770186335404
19,believe,69,23,0.6160714285714286
226,walking,71,22,0.6063664596273292
207,told,62,25,0.6017080745341615
159,puedo,61,25,0.5920031055900621
50,donde,63,24,0.5869565217391305
23,blood,54,27,0.5659937888198758
168,run,55,26,0.5551242236024845
24,boca,84,17,0.5543478260869565
187,soul,51,28,0.5543478260869565
186,sometimes,64,22,0.546583850931677
167,room,52,27,0.5450310559006211
3,alma,50,28,0.5434782608695652
133,mundo,56,25,0.5434782608695652
20,better,58,24,0.5403726708074534
215,tú,69,20,0.5357142857142857
184,someone,51,27,0.5345496894409938
188,stay,51,27,0.5345496894409938
169,running,57,24,0.531055900621118
10,arms,57,24,0.531055900621118
43,days,53,25,0.5143633540372671
69,fever,132,10,0.5124223602484472
199,tengo,52,25,0.5046583850931677
5,along,52,23,0.4642857142857143
122,metal,99,12,0.4611801242236025
0,ahora,56,21,0.45652173913043476
130,move,51,23,0.45535714285714285
205,tired,58,20,0.4503105590062112
33,coming,61,19,0.44992236024844723
30,catch,81,14,0.44021739130434784
28,cada,51,22,0.4355590062111801
67,fault,96,11,0.40993788819875776
57,esa,56,18,0.391304347826087
107,lights,55,18,0.3843167701863354
118,low,66,15,0.3843167701863354
163,ready,65,15,0.3784937888198758
149,pa,55,17,0.3629658385093168
65,falling,52,17,0.34316770186335405
71,fly,63,14,0.3423913043478261
132,mujer,51,17,0.33656832298136646
78,goin,58,14,0.31521739130434784
127,miss,50,15,0.2911490683229814
153,pick,61,12,0.2841614906832298
166,rock,70,10,0.2717391304347826
192,stupid,57,12,0.265527950310559
25,bored,51,12,0.2375776397515528
52,duele,50,12,0.2329192546583851
209,trash,84,6,0.1956521739130435
211,tryin,59,8,0.18322981366459629
119,machine,58,8,0.18012422360248448
154,picture,58,8,0.18012422360248448
76,glass,57,8,0.17701863354037267
128,monkey,63,5,0.12228260869565218
129,motion,55,3,0.0640527950310559
124,militia,51,3,0.0593944099378882
17,bandages,55,1,0.021350931677018632
164,ridin,51,1,0.019798136645962732
