,word,totalRepetitions,fileOcurrences,weight
136,love,10959,649,2761.021350931677
119,know,1301,367,185.35209627329192
15,baby,1322,215,110.33773291925466
126,like,946,280,102.82608695652173
173,oh,910,269,95.02717391304348
102,heart,828,280,90.0
256,want,805,209,65.3125
168,never,681,242,63.975931677018636
124,life,766,199,59.17468944099379
95,got,704,214,58.484472049689444
175,one,676,211,55.37111801242236
268,would,572,222,49.29503105590062
123,let,635,197,48.56172360248447
201,see,519,223,44.92895962732919
257,way,562,197,42.97903726708075
166,need,631,174,42.62189440993789
271,yeah,582,180,40.66770186335404
199,say,549,189,40.27989130434783
39,come,587,170,38.73835403726708
241,time,466,214,38.712732919254655
41,could,534,141,29.229037267080745
143,make,437,171,29.008928571428573
87,give,478,155,28.76164596273292
90,go,435,170,28.707298136645964
71,feel,428,171,28.411490683229815
92,going,436,150,25.388198757763973
91,god,905,66,23.187111801242235
37,christmas,838,71,23.097049689440993
99,happy,605,98,23.016304347826086
232,tell,384,150,22.36024844720497
94,good,405,136,21.38198757763975
267,world,381,141,20.85442546583851
230,take,368,141,20.142857142857142
113,joy,646,79,19.81133540372671
84,get,315,138,16.875
193,right,303,142,16.702639751552795
4,always,358,118,16.399068322981368
58,every,291,141,15.928183229813664
46,day,276,136,14.571428571428571
12,away,282,123,13.465062111801242
117,kiss,395,87,13.340450310559007
57,ever,319,107,13.250388198757763
236,think,291,111,12.539208074534162
128,little,352,90,12.298136645962733
258,well,267,108,11.194099378881987
159,much,277,103,11.075698757763975
75,find,272,104,10.98136645962733
162,na,305,86,10.182453416149068
255,wan,305,86,10.182453416149068
252,us,302,84,9.847826086956522
149,merry,553,44,9.445652173913043
114,keep,276,88,9.428571428571429
176,ooh,312,74,8.962732919254659
180,people,287,75,8.355978260869565
189,really,239,89,8.257375776397515
222,still,249,85,8.216226708074535
170,night,184,113,8.071428571428571
210,sing,344,58,7.745341614906832
145,man,202,97,7.6063664596273295
63,eyes,174,106,7.159937888198757
10,around,173,103,6.917313664596273
169,new,241,73,6.829580745341615
235,things,179,94,6.531832298136646
263,without,273,61,6.4646739130434785
213,someone,246,65,6.207298136645963
216,song,248,63,6.065217391304348
16,back,192,81,6.037267080745342
61,everything,172,88,5.875776397515528
19,believe,207,71,5.705357142857143
247,true,164,87,5.538819875776397
172,nothing,224,63,5.478260869565218
234,thing,193,72,5.394409937888199
86,girl,179,77,5.350543478260869
130,long,163,83,5.2519409937888195
242,together,172,74,4.940993788819876
76,forever,231,55,4.932065217391305
137,loved,238,52,4.804347826086956
1,ai,228,53,4.690993788819876
274,yes,172,69,4.607142857142857
103,heaven,236,50,4.580745341614906
106,hold,155,76,4.5729813664596275
262,wish,225,51,4.454580745341615
18,beautiful,299,35,4.0625
129,live,158,65,3.986801242236025
196,said,128,80,3.9751552795031055
152,mine,122,81,3.8361801242236027
151,mind,120,81,3.7732919254658386
142,made,139,68,3.669254658385093
131,look,131,71,3.610636645962733
133,lord,173,52,3.4922360248447206
224,strong,171,51,3.3854813664596275
78,free,134,61,3.173136645962733
55,enough,151,52,3.048136645962733
214,something,119,64,2.9565217391304346
188,real,222,34,2.9301242236024843
217,soul,117,64,2.906832298136646
208,show,138,54,2.892857142857143
80,friends,108,63,2.641304347826087
248,try,99,66,2.5364906832298137
221,stay,94,68,2.481366459627329
109,hope,120,53,2.468944099378882
56,even,106,59,2.4277950310559007
226,sun,118,53,2.4277950310559007
125,light,99,62,2.3827639751552794
178,party,306,20,2.375776397515528
59,everybody,165,37,2.3699534161490683
21,better,121,49,2.301630434782609
29,bring,108,54,2.2639751552795033
3,alone,112,52,2.260869565217391
228,sweet,103,56,2.239130434782609
122,leave,100,56,2.1739130434782608
144,makes,93,59,2.1300465838509317
81,fun,140,39,2.119565217391304
93,gone,118,46,2.107142857142857
183,please,99,53,2.036878881987578
104,hey,111,47,2.0252329192546585
101,hear,104,49,1.9782608695652173
223,stop,106,48,1.9751552795031055
33,care,96,52,1.937888198757764
237,though,95,52,1.9177018633540373
272,year,133,36,1.858695652173913
27,boy,113,42,1.8423913043478262
139,loving,103,46,1.8392857142857142
111,inside,94,50,1.8245341614906831
184,power,192,24,1.7888198757763976
212,somebody,131,35,1.7798913043478262
64,face,83,55,1.7721273291925466
6,another,88,51,1.7422360248447204
77,found,92,48,1.7142857142857142
32,came,89,49,1.6929347826086956
266,words,88,49,1.673913043478261
147,may,84,49,1.5978260869565217
270,ya,126,32,1.565217391304348
174,old,81,49,1.5407608695652173
161,must,83,47,1.5143633540372672
108,home,75,52,1.513975155279503
260,whole,78,50,1.513975155279503
163,name,143,27,1.498835403726708
100,hard,103,37,1.4794254658385093
165,near,84,45,1.4673913043478262
52,dreams,75,50,1.4557453416149069
246,touch,81,46,1.4464285714285714
171,nobody,106,35,1.440217391304348
250,two,97,38,1.4309006211180124
155,money,137,26,1.3827639751552796
244,tonight,91,39,1.377717391304348
132,looking,124,28,1.3478260869565217
148,maybe,85,39,1.2868788819875776
156,morning,85,39,1.2868788819875776
220,start,74,44,1.263975155279503
269,wrong,72,45,1.2577639751552796
43,cry,70,46,1.25
238,thought,76,41,1.2096273291925466
253,wait,85,36,1.187888198757764
229,ta,85,36,1.187888198757764
218,stand,85,36,1.187888198757764
115,kind,65,47,1.1859472049689441
47,days,80,38,1.1801242236024845
181,place,76,40,1.1801242236024845
51,dream,71,41,1.1300465838509317
211,smile,70,41,1.1141304347826086
36,change,84,34,1.108695652173913
227,sure,77,37,1.1059782608695652
20,best,70,40,1.0869565217391304
72,feeling,68,41,1.0822981366459627
48,dear,71,39,1.0749223602484472
28,break,79,35,1.0733695652173914
83,gave,79,35,1.0733695652173914
209,side,65,42,1.059782608695652
50,done,77,35,1.046195652173913
167,needs,127,21,1.0353260869565217
35,chance,102,26,1.029503105590062
135,lost,75,35,1.0190217391304348
89,glory,113,23,1.0089285714285714
31,call,69,37,0.9910714285714286
206,share,91,28,0.9891304347826086
186,pretty,97,26,0.9790372670807453
9,arms,68,37,0.9767080745341615
69,far,64,38,0.9440993788819876
198,saw,84,28,0.9130434782608695
182,play,80,29,0.9006211180124224
79,friend,70,33,0.8967391304347826
259,whoa,100,23,0.8928571428571429
121,last,56,41,0.8913043478260869
187,put,60,38,0.8850931677018633
88,glad,71,32,0.8819875776397516
54,end,54,42,0.8804347826086957
205,shake,151,15,0.8792701863354038
