,word,totalRepetitions,fileOcurrences,weight
891,"('fire', 'fire')",287,27,3.0081521739130435
2089,"('oh', 'oh')",118,21,0.9619565217391305
1569,"('let', 'go')",80,26,0.8074534161490683
333,"('burn', 'burn')",126,16,0.782608695652174
824,"('fight', 'fight')",114,16,0.7080745341614907
3089,"('war', 'war')",110,16,0.6832298136645962
3269,"('yeah', 'yeah')",83,17,0.547748447204969
2101,"('oh', 'yeah')",58,22,0.4953416149068323
1601,"('lie', 'lie')",114,10,0.44254658385093165
913,"('fire', 'oh')",49,16,0.30434782608695654
1234,"('hate', 'hate')",68,11,0.29037267080745344
1311,"('hey', 'hey')",85,7,0.23097826086956522
1765,"('lost', 'lost')",46,11,0.19642857142857142
1660,"('like', 'fire')",41,12,0.19099378881987578
2732,"('take', 'away')",36,12,0.16770186335403728
439,"('come', 'come')",35,12,0.16304347826086957
1496,"('know', 'know')",38,11,0.1622670807453416
2951,"('unfortunately', 'licensed')",20,20,0.15527950310559005
1363,"('hopefully', 'able')",20,20,0.15527950310559005
1937,"('moment', 'hopefully')",20,20,0.15527950310559005
614,"('display', 'full')",20,20,0.15527950310559005
2294,"('random', 'page')",20,20,0.15527950310559005
998,"('future', 'random')",20,20,0.15527950310559005
990,"('full', 'lyrics')",20,20,0.15527950310559005
1826,"('lyrics', 'song')",20,20,0.15527950310559005
2605,"('song', 'moment')",20,20,0.15527950310559005
1592,"('licensed', 'display')",20,20,0.15527950310559005
6,"('able', 'future')",20,20,0.15527950310559005
766,"('far', 'away')",28,14,0.15217391304347827
2391,"('run', 'away')",38,10,0.14751552795031056
3037,"('want', 'see')",42,8,0.13043478260869565
798,"('feel', 'pain')",31,10,0.1203416149068323
436,"('come', 'back')",31,10,0.1203416149068323
1515,"('know', 'want')",36,8,0.11180124223602485
2152,"('ooh', 'ooh')",52,5,0.10093167701863354
2914,"('trouble', 'trouble')",42,6,0.09782608695652174
795,"('feel', 'like')",30,8,0.09316770186335403
1275,"('heart', 'fire')",47,5,0.09122670807453416
