,word,totalRepetitions,fileOcurrences,weight
6,'s,1939,385,289.79619565217394
154,n't,1852,351,252.34937888198758
4,'m,922,219,78.38431677018633
79,fire,1290,148,74.11490683229813
5,'re,702,202,55.048136645962735
120,know,630,218,53.31521739130435
130,like,644,207,51.75
139,love,549,191,40.70613354037267
3,'ll,586,175,39.80978260869565
163,oh,608,141,33.27950310559006
96,got,564,151,33.06055900621118
7,'ve,462,164,29.41304347826087
76,fight,607,117,27.56948757763975
225,war,756,92,27.0
86,get,476,145,26.793478260869566
208,take,427,150,24.86413043478261
125,let,506,126,24.75
155,na,521,120,24.270186335403725
239,yeah,472,126,23.08695652173913
165,one,401,139,21.637810559006212
36,ca,397,136,20.959627329192546
185,say,372,140,20.217391304347824
20,away,408,125,19.79813664596273
167,pain,458,110,19.55745341614907
157,never,364,133,18.793478260869566
128,life,354,134,18.414596273291924
42,come,359,125,17.420419254658384
188,see,321,136,16.9472049689441
224,want,389,109,16.46001552795031
227,way,335,121,15.735636645962733
90,go,313,129,15.674301242236025
213,time,269,145,15.141692546583851
103,heart,320,121,15.031055900621118
33,burn,468,75,13.625776397515528
1,'cause,317,110,13.536490683229813
100,hate,458,74,13.156832298136646
74,feel,280,107,11.630434782608695
235,world,265,110,11.315993788819876
93,gon,312,86,10.416149068322982
22,back,234,112,10.173913043478262
179,right,275,95,10.141692546583851
142,make,215,102,8.513198757763975
209,tell,214,98,8.141304347826088
21,baby,288,71,7.937888198757764
138,lost,241,76,7.1102484472049685
233,wo,203,86,6.7771739130434785
223,wan,266,60,6.195652173913044
8,...,197,81,6.194487577639752
69,eyes,164,96,6.111801242236025
126,lie,298,52,6.015527950310559
156,need,210,70,5.706521739130435
45,could,187,74,5.371894409937888
211,think,175,74,5.0271739130434785
159,night,165,77,4.932065217391305
221,us,188,65,4.7437888198757765
14,always,189,63,4.622282608695652
162,nothing,174,66,4.458074534161491
73,fear,186,58,4.187888198757764
89,give,151,71,4.161878881987578
183,run,170,63,4.157608695652174
51,day,135,76,3.982919254658385
115,inside,137,73,3.8823757763975157
2,'d,162,61,3.8361801242236027
135,look,161,56,3.5
58,die,143,63,3.4972826086956523
25,believe,147,61,3.4809782608695654
11,ai,166,53,3.415372670807453
228,well,129,66,3.3051242236024843
131,little,137,62,3.297360248447205
204,still,141,60,3.2841614906832297
144,man,121,69,3.2410714285714284
68,evil,206,40,3.198757763975155
66,every,130,62,3.12888198757764
9,afraid,200,36,2.7950310559006213
26,better,138,52,2.7857142857142856
149,mind,115,58,2.5892857142857144
110,hold,131,50,2.5427018633540373
91,god,125,52,2.5232919254658386
236,would,122,53,2.5100931677018634
113,hurt,161,40,2.5
95,good,116,55,2.4767080745341614
210,things,101,62,2.4309006211180124
129,light,124,50,2.406832298136646
13,alone,97,60,2.2593167701863353
97,gun,193,30,2.247670807453416
64,even,128,45,2.2360248447204967
106,hey,178,32,2.2111801242236027
18,around,115,48,2.142857142857143
67,everything,138,40,2.142857142857143
220,turn,118,46,2.107142857142857
152,much,124,43,2.0698757763975157
54,death,109,48,2.031055900621118
132,live,103,50,1.999223602484472
101,head,100,51,1.9798136645962734
55,desire,121,42,1.9728260869565217
202,stand,115,44,1.9642857142857142
219,try,101,50,1.9604037267080745
184,said,97,52,1.9580745341614907
116,keep,101,49,1.921195652173913
166,ooh,137,35,1.861413043478261
168,people,112,42,1.826086956521739
158,new,94,48,1.7515527950310559
205,stop,107,40,1.6614906832298137
53,dead,117,36,1.6350931677018634
127,lies,88,47,1.6055900621118013
70,face,73,56,1.5869565217391304
104,hell,102,40,1.5838509316770186
174,put,92,44,1.5714285714285714
65,ever,94,43,1.5690993788819876
136,lord,134,30,1.56055900621118
218,trouble,191,21,1.5570652173913044
34,burning,97,41,1.5438664596273293
44,coming,101,39,1.5291149068322982
78,find,77,51,1.5244565217391304
71,fall,76,51,1.5046583850931676
194,show,80,47,1.4596273291925466
124,left,82,45,1.4324534161490683
161,nobody,122,30,1.420807453416149
17,another,74,47,1.3501552795031055
123,leave,75,45,1.3101708074534162
62,end,84,40,1.3043478260869565
92,going,90,37,1.2927018633540373
117,kill,76,43,1.2686335403726707
122,last,76,42,1.2391304347826086
0,'',89,35,1.2092391304347827
31,bring,86,35,1.1684782608695652
197,something,75,40,1.1645962732919255
37,call,73,41,1.1618788819875776
28,body,88,34,1.1614906832298137
240,yes,93,32,1.15527950310559
215,tonight,86,34,1.1350931677018634
237,wrong,71,41,1.1300465838509317
56,destroy,124,23,1.1071428571428572
99,hard,77,37,1.1059782608695652
164,old,73,39,1.1052018633540373
102,hear,71,40,1.1024844720496894
148,might,71,39,1.0749223602484472
203,start,86,32,1.0683229813664596
196,someone,72,38,1.062111801242236
153,must,73,37,1.048524844720497
187,scream,87,31,1.046972049689441
169,place,58,46,1.0357142857142858
43,comes,70,38,1.0326086956521738
232,without,66,39,0.9992236024844721
134,long,64,40,0.9937888198757764
27,blood,69,37,0.9910714285714286
41,cold,89,28,0.967391304347826
111,home,66,37,0.9479813664596274
119,kiss,84,29,0.9456521739130435
12,alive,71,34,0.937111801242236
212,till,67,36,0.9363354037267081
30,break,68,35,0.9239130434782609
84,full,64,37,0.9192546583850931
47,cry,62,38,0.9145962732919255
108,higher,94,25,0.9122670807453416
23,bad,70,33,0.8967391304347826
200,soul,61,37,0.8761645962732919
146,matter,90,25,0.8734472049689441
32,broken,75,30,0.8734472049689441
140,mad,118,19,0.8703416149068323
72,far,64,35,0.8695652173913043
199,song,52,42,0.8478260869565217
109,hit,97,22,0.828416149068323
207,ta,75,27,0.7861024844720497
59,done,56,36,0.782608695652174
137,lose,69,29,0.7767857142857143
57,devil,82,24,0.7639751552795031
191,set,70,28,0.7608695652173914
178,really,61,32,0.7577639751552795
39,cause,65,30,0.7569875776397516
40,change,57,34,0.7523291925465838
226,watch,71,27,0.7441770186335404
141,made,58,33,0.7430124223602484
143,makes,63,30,0.7336956521739131
172,power,60,31,0.7220496894409938
107,hide,55,33,0.7045807453416149
105,help,64,28,0.6956521739130435
98,hand,51,35,0.6929347826086957
48,dance,70,25,0.6793478260869565
38,care,58,30,0.6754658385093167
94,gone,56,31,0.6739130434782609
85,game,62,28,0.6739130434782609
133,living,70,24,0.6521739130434783
222,walk,61,27,0.6393633540372671
88,girl,53,31,0.6378105590062112
238,ya,71,23,0.6339285714285714
77,fighting,71,23,0.6339285714285714
82,friend,62,25,0.6017080745341615
81,free,56,27,0.5869565217391305
201,sound,54,28,0.5869565217391305
114,insane,60,25,0.5822981366459627
177,ready,61,24,0.5683229813664596
87,getting,54,27,0.5659937888198758
29,bomb,97,15,0.5648291925465838
147,maybe,55,26,0.5551242236024845
216,took,65,22,0.5551242236024845
195,somebody,63,22,0.5380434782608695
63,enough,55,25,0.5337732919254659
151,move,51,26,0.514751552795031
170,play,60,22,0.5124223602484472
214,together,59,22,0.5038819875776398
190,send,71,18,0.49611801242236025
150,moment,51,25,0.49495341614906835
186,scared,85,15,0.49495341614906835
118,killer,91,14,0.4945652173913043
52,days,53,24,0.4937888198757764
75,feeling,53,24,0.4937888198757764
50,dark,63,20,0.4891304347826087
145,many,54,23,0.48214285714285715
35,burns,80,15,0.4658385093167702
193,shot,85,14,0.46195652173913043
83,fucking,51,23,0.45535714285714285
10,ah,61,18,0.42624223602484473
217,touch,52,21,0.42391304347826086
206,sweet,57,19,0.4204192546583851
24,battle,63,17,0.4157608695652174
198,sometimes,59,18,0.41226708074534163
234,woman,85,12,0.39596273291925466
160,nightmare,75,13,0.3784937888198758
182,rock,57,17,0.3761645962732919
16,anger,60,16,0.37267080745341613
230,wicked,92,10,0.35714285714285715
175,rage,54,17,0.3563664596273292
189,seen,50,18,0.34937888198757766
173,pressure,88,10,0.3416149068322981
80,floor,51,17,0.33656832298136646
121,knows,50,17,0.3299689440993789
176,rape,54,15,0.3144409937888199
19,ask,50,16,0.3105590062111801
49,danger,55,12,0.2562111801242236
192,shoot,61,10,0.23680124223602483
171,poison,61,9,0.21312111801242237
229,white,60,9,0.2096273291925466
181,riot,109,4,0.16925465838509315
46,crash,53,8,0.16459627329192547
180,ring,59,6,0.1374223602484472
112,hurricane,61,5,0.11840062111801242
61,dropped,50,6,0.11645962732919254
231,wins,59,4,0.09161490683229814
15,amadeus,63,1,0.024456521739130436
60,doo,54,1,0.02096273291925466
