,Unnamed: 0,word,totalRepetitions,fileOcurrences,weight
1,110,know,630,218,53.31521739130435
2,120,like,644,207,51.75
3,129,love,549,191,40.70613354037267
4,210,want,654,149,37.828416149068325
5,151,oh,608,141,33.27950310559006
6,86,got,564,151,33.06055900621118
8,211,war,756,92,27.0
9,76,get,476,145,26.79347826086957
10,195,take,427,150,24.86413043478261
11,115,let,506,126,24.75
12,224,yeah,472,126,23.08695652173913
13,153,one,401,139,21.63781055900621
14,173,say,372,140,20.217391304347824
15,11,away,408,125,19.798136645962728
17,145,never,364,133,18.793478260869566
18,118,life,354,134,18.414596273291927
19,32,come,359,125,17.420419254658384
20,176,see,321,136,16.9472049689441
21,213,way,335,121,15.735636645962732
22,80,go,313,129,15.674301242236025
23,82,going,346,115,15.446428571428573
24,200,time,269,145,15.141692546583851
25,93,heart,320,121,15.031055900621116
28,64,feel,280,107,11.630434782608695
29,220,world,265,110,11.315993788819876
30,13,back,234,112,10.173913043478262
31,167,right,275,95,10.141692546583851
32,132,make,215,102,8.513198757763975
33,196,tell,214,98,8.141304347826088
35,128,lost,241,76,7.1102484472049685
38,144,need,210,70,5.706521739130435
39,35,could,187,74,5.371894409937887
40,198,think,175,74,5.027173913043479
41,147,night,165,77,4.932065217391305
42,208,us,188,65,4.7437888198757765
43,5,always,189,63,4.622282608695652
44,150,nothing,174,66,4.458074534161492
46,79,give,151,71,4.161878881987579
47,171,run,170,63,4.157608695652174
48,41,day,135,76,3.982919254658385
50,125,look,161,56,3.5
52,16,believe,147,61,3.4809782608695654
54,214,well,129,66,3.3051242236024843
55,121,little,137,62,3.297360248447205
56,192,still,141,60,3.2841614906832297
57,134,man,121,69,3.2410714285714284
59,56,every,130,62,3.1288819875776404
61,17,better,138,52,2.7857142857142856
62,139,mind,115,58,2.5892857142857144
64,81,god,125,52,2.5232919254658386
65,221,would,122,53,2.5100931677018634
67,85,good,116,55,2.4767080745341614
68,197,things,101,62,2.4309006211180124
69,119,light,124,50,2.4068322981366457
72,54,even,128,45,2.2360248447204967
74,57,everything,138,40,2.142857142857143
75,9,around,115,48,2.142857142857143
76,207,turn,118,46,2.107142857142857
77,142,much,124,43,2.069875776397516
78,44,death,109,48,2.0310559006211184
79,122,live,103,50,1.9992236024844718
80,91,head,100,51,1.9798136645962732
83,206,try,101,50,1.9604037267080745
84,172,said,97,52,1.958074534161491
85,106,keep,101,49,1.921195652173913
87,156,people,112,42,1.826086956521739
88,146,new,94,48,1.751552795031056
89,193,stop,107,40,1.6614906832298135
92,60,face,73,56,1.5869565217391304
94,162,put,92,44,1.5714285714285714
95,55,ever,94,43,1.5690993788819876
99,34,coming,101,39,1.5291149068322982
100,68,find,77,51,1.5244565217391304
102,182,show,80,47,1.4596273291925466
103,114,left,82,45,1.4324534161490683
105,8,another,74,47,1.3501552795031055
106,113,leave,75,45,1.3101708074534162
107,52,end,84,40,1.3043478260869563
109,112,last,76,42,1.2391304347826086
111,185,something,75,40,1.1645962732919255
112,27,call,73,41,1.1618788819875776
113,19,body,88,34,1.1614906832298135
114,225,yes,93,32,1.15527950310559
116,222,wrong,71,41,1.1300465838509317
118,89,hard,77,37,1.1059782608695652
119,152,old,73,39,1.1052018633540373
121,138,might,71,39,1.0749223602484472
122,191,start,86,32,1.0683229813664596
123,184,someone,72,38,1.062111801242236
124,143,must,73,37,1.0485248447204971
126,157,place,58,46,1.0357142857142858
127,33,comes,70,38,1.0326086956521738
128,218,without,66,39,0.999223602484472
129,124,long,64,40,0.9937888198757764
132,101,home,66,37,0.9479813664596274
137,74,full,64,37,0.9192546583850932
140,14,bad,70,33,0.8967391304347826
143,136,matter,90,25,0.8734472049689441
145,62,far,64,35,0.8695652173913043
147,99,hit,97,22,0.828416149068323
148,49,done,56,36,0.7826086956521741
151,179,set,70,28,0.7608695652173914
152,166,really,61,32,0.7577639751552795
153,29,cause,65,30,0.7569875776397516
154,30,change,57,34,0.7523291925465838
155,212,watch,71,27,0.7441770186335404
156,131,made,58,33,0.7430124223602484
157,133,makes,63,30,0.7336956521739131
158,160,power,60,31,0.7220496894409938
160,95,help,64,28,0.6956521739130435
161,88,hand,51,35,0.6929347826086957
163,28,care,58,30,0.6754658385093167
165,75,game,62,28,0.6739130434782609
166,123,living,70,24,0.6521739130434783
168,78,girl,53,31,0.6378105590062112
171,72,friend,62,25,0.6017080745341615
172,71,free,56,27,0.5869565217391305
176,77,getting,54,27,0.5659937888198758
178,137,maybe,55,26,0.5551242236024845
179,203,took,65,22,0.5551242236024845
181,53,enough,55,25,0.5337732919254659
182,141,move,51,26,0.514751552795031
183,158,play,60,22,0.5124223602484472
184,201,together,59,22,0.5038819875776398
189,42,days,53,24,0.4937888198757764
192,135,many,54,23,0.4821428571428572
195,73,fucking,51,23,0.4553571428571429
200,186,sometimes,59,18,0.4122670807453416
201,219,woman,85,12,0.39596273291925466
207,177,seen,50,18,0.3493788819875777
212,10,ask,50,16,0.3105590062111801
216,215,white,60,9,0.2096273291925466
