,word,totalRepetitions,fileOcurrences,weight
2238,"('love', 'love')",2534,270,265.5978260869565
1731,"('know', 'love')",201,89,6.944487577639752
2074,"('love', 'baby')",245,71,6.752717391304348
2275,"('love', 'oh')",190,74,5.458074534161491
2210,"('love', 'know')",161,70,4.375
197,"('baby', 'love')",183,58,4.120341614906832
2554,"('merry', 'christmas')",326,31,3.923136645962733
2227,"('love', 'like')",201,47,3.667313664596273
2266,"('love', 'need')",199,41,3.167313664596273
2399,"('love', 'want')",172,42,2.8043478260869565
4294,"('yeah', 'yeah')",156,45,2.7251552795031055
1126,"('give', 'love')",143,49,2.720108695652174
2696,"('need', 'love')",186,35,2.527173913043478
2174,"('love', 'got')",133,44,2.2717391304347827
2268,"('love', 'never')",141,40,2.18944099378882
1824,"('let', 'go')",115,49,2.1875
3265,"('say', 'love')",122,45,2.1312111801242235
3972,"('want', 'love')",169,31,2.0337732919254656
4047,"('way', 'love')",154,31,1.8532608695652173
2401,"('love', 'way')",137,32,1.7018633540372672
1311,"('got', 'love')",143,29,1.6098602484472049
1727,"('know', 'know')",118,35,1.6032608695652173
168,"('baby', 'baby')",112,34,1.4782608695652173
2856,"('oh', 'love')",95,40,1.4751552795031055
2862,"('oh', 'oh')",120,29,1.3509316770186335
2418,"('love', 'yeah')",72,47,1.313664596273292
2162,"('love', 'give')",90,33,1.1529503105590062
2106,"('love', 'come')",128,23,1.1428571428571428
903,"('feel', 'like')",101,29,1.1370341614906831
2060,"('love', 'always')",83,34,1.095496894409938
1619,"('joy', 'joy')",152,17,1.0031055900621118
2415,"('love', 'would')",73,35,0.9918478260869565
65,"('always', 'love')",106,24,0.9875776397515528
2832,"('oh', 'baby')",84,28,0.9130434782608695
3678,"('tell', 'love')",81,28,0.8804347826086957
2144,"('love', 'feel')",88,24,0.8198757763975155
2342,"('love', 'someone')",113,18,0.7895962732919255
4278,"('yeah', 'love')",57,34,0.7523291925465838
2878,"('oh', 'yeah')",55,35,0.7472826086956522
4138,"('without', 'love')",103,18,0.71972049689441
1933,"('like', 'love')",77,24,0.717391304347826
3123,"('really', 'love')",84,22,0.717391304347826
2367,"('love', 'tell')",74,23,0.6607142857142857
4126,"('wish', 'merry')",153,11,0.6533385093167702
1207,"('god', 'god')",129,13,0.6510093167701864
2278,"('love', 'one')",66,25,0.640527950310559
3733,"('think', 'love')",73,22,0.6234472049689441
503,"('christmas', 'merry')",103,15,0.5997670807453416
2318,"('love', 'say')",64,23,0.5714285714285714
1453,"('heart', 'love')",54,27,0.5659937888198758
2556,"('merry', 'little')",97,15,0.5648291925465838
1973,"('little', 'christmas')",96,15,0.5590062111801242
2184,"('love', 'heart')",54,26,0.5450310559006211
2169,"('love', 'going')",54,26,0.5450310559006211
3313,"('see', 'love')",59,23,0.5267857142857143
2419,"('love', 'yes')",56,24,0.5217391304347826
3113,"('real', 'love')",164,8,0.5093167701863354
793,"('every', 'day')",40,32,0.4968944099378882
3413,"('sing', 'love')",142,9,0.49611801242236025
2346,"('love', 'song')",106,12,0.4937888198757764
2483,"('make', 'love')",84,15,0.4891304347826087
2154,"('love', 'forever')",132,9,0.4611801242236025
264,"('beautiful', 'beautiful')",108,11,0.4611801242236025
2640,"('much', 'love')",78,15,0.45419254658385094
2749,"('never', 'let')",45,26,0.45419254658385094
189,"('baby', 'know')",46,25,0.44642857142857145
3557,"('still', 'love')",76,15,0.44254658385093165
529,"('come', 'baby')",65,17,0.42895962732919257
2263,"('love', 'much')",61,18,0.42624223602484473
2777,"('new', 'year')",75,14,0.4076086956521739
4220,"('would', 'like')",38,27,0.3982919254658385
