,word,totalRepetitions,fileOcurrences,weight
148,love,10959,649,2761.021350931677
7,'s,2451,499,474.78610248447205
174,n't,2366,435,399.5380434782609
5,'m,1471,349,199.2930900621118
131,know,1301,367,185.35209627329192
25,baby,1322,215,110.33773291925466
138,like,946,280,102.82608695652173
186,oh,910,269,95.02717391304348
114,heart,828,280,90.0
6,'re,835,269,87.19526397515529
4,'ll,805,259,80.9375
269,want,805,209,65.3125
181,never,681,242,63.975931677018636
136,life,766,199,59.17468944099379
107,got,704,214,58.484472049689444
188,one,676,211,55.37111801242236
41,ca,648,210,52.82608695652174
175,na,676,188,49.33540372670807
135,let,635,197,48.56172360248447
8,'ve,541,218,45.7833850931677
214,see,519,223,44.92895962732919
270,way,562,197,42.97903726708075
179,need,631,174,42.62189440993789
285,yeah,582,180,40.66770186335404
212,say,549,189,40.27989130434783
50,come,587,170,38.73835403726708
254,time,466,214,38.712732919254655
52,could,534,141,29.229037267080745
155,make,437,171,29.008928571428573
98,give,478,155,28.76164596273292
101,go,435,170,28.707298136645964
82,feel,428,171,28.411490683229815
2,'cause,377,171,25.026009316770185
102,god,905,66,23.187111801242235
48,christmas,838,71,23.097049689440993
111,happy,605,98,23.016304347826086
245,tell,384,150,22.36024844720497
106,good,405,136,21.38198757763975
281,world,381,141,20.85442546583851
243,take,368,141,20.142857142857142
125,joy,646,79,19.81133540372671
104,gon,384,124,18.48447204968944
282,would,320,146,18.13664596273292
95,get,315,138,16.875
206,right,303,142,16.702639751552795
14,always,358,118,16.399068322981368
69,every,291,141,15.928183229813664
57,day,276,136,14.571428571428571
22,away,282,123,13.465062111801242
129,kiss,395,87,13.340450310559007
68,ever,319,107,13.250388198757763
249,think,291,111,12.539208074534162
140,little,352,90,12.298136645962733
3,'d,252,115,11.25
271,well,267,108,11.194099378881987
9,...,236,122,11.177018633540373
171,much,277,103,11.075698757763975
86,find,272,104,10.98136645962733
268,wan,305,86,10.182453416149068
265,us,302,84,9.847826086956522
161,merry,553,44,9.445652173913043
126,keep,276,88,9.428571428571429
189,ooh,312,74,8.962732919254659
193,people,287,75,8.355978260869565
202,really,239,89,8.257375776397515
235,still,249,85,8.216226708074535
183,night,184,113,8.071428571428571
