,Unnamed: 0,word,totalRepetitions,fileOcurrences,weight
0,136,love,10959,649,2761.0213509316773
1,119,know,1301,367,185.3520962732919
2,253,want,1110,258,111.1723602484472
3,15,baby,1322,215,110.33773291925466
4,126,like,946,280,102.82608695652172
5,172,oh,910,269,95.02717391304348
6,102,heart,828,280,90.0
7,167,never,681,242,63.97593167701864
8,124,life,766,199,59.17468944099379
9,95,got,704,214,58.48447204968944
10,174,one,676,211,55.371118012422365
11,123,let,635,197,48.56172360248446
12,200,see,519,223,44.928959627329185
13,254,way,562,197,42.97903726708075
14,165,need,631,174,42.621894409937894
15,268,yeah,582,180,40.66770186335404
16,198,say,549,189,40.27989130434783
17,39,come,587,170,38.73835403726708
18,239,time,466,214,38.712732919254655
19,41,could,534,141,29.229037267080745
20,143,make,437,171,29.00892857142857
21,87,give,478,155,28.76164596273292
22,90,go,435,170,28.707298136645967
23,71,feel,428,171,28.411490683229808
24,92,going,436,150,25.388198757763966
25,91,god,905,66,23.18711180124223
27,99,happy,605,98,23.01630434782609
28,230,tell,384,150,22.360248447204967
29,94,good,405,136,21.381987577639748
30,264,world,381,141,20.85442546583851
31,228,take,368,141,20.142857142857142
33,265,would,320,146,18.136645962732924
34,84,get,315,138,16.875
35,192,right,303,142,16.702639751552795
36,4,always,358,118,16.399068322981368
37,58,every,291,141,15.928183229813664
38,46,day,276,136,14.571428571428573
39,12,away,282,123,13.465062111801243
41,57,ever,319,107,13.250388198757765
42,234,think,291,111,12.53920807453416
43,128,little,352,90,12.298136645962732
44,255,well,267,108,11.194099378881988
45,159,much,277,103,11.075698757763977
46,75,find,272,104,10.98136645962733
47,250,us,302,84,9.847826086956523
49,114,keep,276,88,9.428571428571429
51,179,people,287,75,8.355978260869565
52,188,really,239,89,8.257375776397515
53,221,still,249,85,8.216226708074535
54,169,night,184,113,8.071428571428571
56,145,man,202,97,7.6063664596273295
58,10,around,173,103,6.917313664596272
59,168,new,241,73,6.829580745341616
60,233,things,179,94,6.531832298136647
61,260,without,273,61,6.464673913043479
62,212,someone,246,65,6.207298136645963
64,16,back,192,81,6.037267080745343
65,61,everything,172,88,5.875776397515527
66,19,believe,207,71,5.705357142857142
67,245,true,164,87,5.538819875776397
68,171,nothing,224,63,5.478260869565218
69,232,thing,193,72,5.394409937888199
70,86,girl,179,77,5.350543478260869
71,130,long,163,83,5.25194099378882
72,240,together,172,74,4.940993788819876
76,271,yes,172,69,4.607142857142857
81,129,live,158,65,3.986801242236025
