,Index,Artist,Song,Emotion,Lyric
0,ML1,Usher,There Goes My Baby,relaxed,"['goes', 'baby', 'ooh', 'girl', 'look', 'know', 'good', 'feels', 'call', 'girl', 'goes', 'baby', 'loving', 'everything', 'ooh', 'girl', 'look', 'bet', 'ai', 'know', 'checking', 'putting', 'heels', 'swear', 'body', 'perfect', 'baby', 'work', 'baby', 'yeah', 'love', 'way', 'poking', 'girl', 'give', 'something', 'feel', 'please', 'believe', 'gone', 'twerking', 'end', 'night', 'baby', 'waiting', 'day', 'wrap', 'hands', 'around', 'waist', 'kiss', 'face', 'would', 'trade', 'feeling', 'nothing', 'even', 'minute', 'sit', 'long', 'takes', 'get', 'alone', 'soon', 'come', 'walking', 'way', 'gon', 'hear', 'say', 'goes', 'baby', 'ooh', 'girl', 'look', 'know', 'good', 'feels', 'call', 'girl', 'goes', 'baby', 'loving', 'everything', 'ooh', 'girl', 'look', 'get', 'chills', 'whenever', 'see', 'face', 'place', 'girl', 'feel', 'like', 'movie', 'baby', 'like', 'oowee', 'baby', 'oh', 'like', 'waterfalls', 'hair', 'falls', 'waist', 'get', 'taste', 'girl', 'need', 'keep', 'baby', 'ai', 'ashamed', 'calling', 'name', 'girl', 'waiting', 'day', 'wrap', 'hands', 'around', 'waist', 'kiss', 'face', 'would', 'trade', 'feeling', 'nothing', 'even', 'minute', 'sit', 'long', 'takes', 'get', 'alone', 'soon', 'come', 'walking', 'way', 'gon', 'hear', 'say', 'goes', 'baby', 'ooh', 'girl', 'look', 'know', 'good', 'feels', 'call', 'girl', 'goes', 'baby', 'loving', 'everything', 'ooh', 'girl', 'look', 'girl', 'feel', 'like', 'first', 'time', 'everytime', 'get', 'together', 'baby', 'loving', 'feels', 'better', 'everything', 'anything', 'put', 'heart', 'need', 'ring', 'promise', 'time', 'away', 'change', 'love', 'goes', 'baby', 'ooh', 'girl', 'look', 'know', 'good', 'feels', 'call', 'girl', 'goes', 'baby', 'loving', 'everything', 'ooh', 'girl', 'look', 'goes', 'baby', 'ooh', 'girl', 'look', 'know', 'good', 'feels', 'call', 'girl', 'goes', 'baby', 'loving', 'everything', 'ooh', 'girl', 'look']"
1,ML2,Da'Ville,On My Mind,relaxed,"['thinking', 'girl', 'miss', 'baby', 'ever', 'since', 'day', 'went', 'away', 'live', 'without', 'always', 'mind', 'always', 'mind', 'always', 'mind', 'girl', 'mind', 'gave', 'fear', 'nothing', 'ever', 'change', 'love', 'remains', 'wait', 'see', 'always', 'mind', 'always', 'mind', 'always', 'mind', 'girl', 'mind', 'see', 'today', 'hope', 'see', 'tomorrow', 'girl', 'got', 'let', 'know', 'feel', 'nothing', 'real', 'want', 'belongs', 'right', 'know', 'always', 'mind', 'always', 'mind', 'girl', 'mind', 'girl', 'mind', 'yeah', 'mind', 'always', 'mind', 'girl', 'mind', 'always', 'mind']"
2,ML3,Rihanna,Rockstar 101 ,relaxed,"['told', 'ya', 'told', 'ya', 'told', 'ya', 'baby', 'baby', 'uh', 'uh', 'told', 'ya', 'baby', 'uh', 'oh', 'told', 'ya', 'baby', 'uh', 'oh', 'told', 'ya', 'baby', 'uh', 'oh', 'told', 'ya', 'baby', 'uh', 'oh', 'told', 'ya', 'baby', 'uh', 'oh', 'told', 'ya', 'got', 'club', 'posted', 'back', 'feeling', 'good', 'looking', 'bad', 'rocking', 'skirt', 'rocking', 'club', 'got', 'middle', 'finger', 'really', 'give', 'fuck', 'rocking', 'diamonds', 'rocking', 'chain', 'make', 'sure', 'get', 'picture', 'rocking', 'fame', 'got', 'thing', 'missing', 'black', 'guitar', 'rock', 'star', 'hey', 'baby', 'rock', 'star', 'hey', 'baby', 'big', 'city', 'white', 'lights', 'sleep', 'day', 'night', 'hey', 'baby', 'rock', 'star', 'hey', 'baby', 'rock', 'star', 'hey', 'baby', 'big', 'cities', 'white', 'lights', 'sleep', 'day', 'nights', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'hey', 'hey', 'hey', 'six', 'inch', 'walker', 'big', 'shit', 'talker', 'never', 'play', 'victim', 'id', 'rather', 'stalker', 'baby', 'take', 'disobey', 'law', 'make', 'sure', 'frisk', 'good', 'check', 'panties', 'bra', 'wildn', 'crazy', 'house', 'white', 'jacket', 'wont', 'come', 'sign', 'got', 'thing', 'missing', 'black', 'guitar', 'rock', 'star', 'hey', 'baby', 'rock', 'star', 'hey', 'baby', 'big', 'city', 'white', 'lights', 'sleep', 'day', 'night', 'hey', 'baby', 'rock', 'star', 'hey', 'baby', 'rock', 'star', 'hey', 'baby', 'big', 'cities', 'white', 'lights', 'sleep', 'day', 'nights', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'hey', 'hey', 'hey', 'hey', 'rocking', 'tonight', 'wait', 'till', 'tomorrow', 'live', 'whole', 'life', 'night', 'ai', 'got', 'time', 'borrow', 'rocking', 'tonight', 'wait', 'till', 'tomorrow', 'live', 'whole', 'life', 'night', 'rock', 'star', 'hey', 'baby', 'rock', 'star', 'hey', 'baby', 'big', 'city', 'white', 'lights', 'sleep', 'day', 'night', 'hey', 'baby', 'rock', 'star', 'hey', 'baby', 'rock', 'star', 'hey', 'baby', 'big', 'cities', 'white', 'lights', 'sleep', 'day', 'nights', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'oh', 'baby', 'hey', 'hey', 'hey']"
3,ML4,J. Holiday,Bed,relaxed,"['j.', 'holiday', 'speaking', 'j.', 'holiday', 'l.o.s', 'aye', 'aye', 'aye', 'aye', 'aye', 'aye', 'aye', 'repeat', '8x', 'times', 'put', 'bed', 'bed', 'bed', 'put', 'bed', 'bed', 'bed', 'aye', 'aye', 'aye', 'aye', 'girl', 'change', 'victoria', 'secret', 'thing', 'like', 'right', 'ok', 'tonight', 'way', 'perfume', 'spray', 'put', 'love', 'air', 'put', 'right', 'next', 'fittin', 'raise', 'temp', 'room', 'first', 'rub', 'back', 'like', 'right', 'uh-uh', 'right', 'uh', 'touch', 'like', 'care', 'stop', 'let', 'repay', 'week', 'working', '9-5', 'staying', 'cute', 'like', 'oh', 'oh', 'oh', 'love', 'love', 'love', 'love', 'everytime', 'everytime', 'touchin', 'touchin', 'want', 'want', 'want', 'want', 'see', 'see', 'morning', 'morning', 'want', 'put', 'fingers', 'hair', 'wrap', 'legs', 'love', 'till', 'eyes', 'roll', 'back', 'tryin', 'put', 'bed', 'bed', 'bed', 'amma', 'put', 'bed', 'bed', 'bed', 'ama', 'rock', 'body', 'turn', 'love', 'war', 'soldier', 'touching', 'like', 'first', 'time', 'amma', 'put', 'bed', 'bed', 'bed', 'ama', 'put', 'bed', 'bed', 'bed', 'staring', 'sleep', 'irreplaceable', 'beauty', 'put', 'face', 'neck', 'breathe', 'aww', 'breathe', 'take', 'senses', 'wake', 'time', 'finish', 'round', 'two', 'round', 'two', 'matter', 'fact', 'closer', 'three', 'like', 'long', ""'sleep"", 'shorty', 'kisses', 'turn', 'sweetest', 'dreams', 'like', 'give', 'feel', 'tell', 'angel', 'wonderful', 'thanks', 'letting', 'bless', 'ya', 'come', 'fly', 'right', 'drift', 'back', 'heaven', 'oh', 'oh', 'oh', 'oh', 'love', 'love', 'love', 'love', 'everytime', 'everytime', 'touchin', 'touchin', 'want', 'want', 'want', 'want', 'see', 'see', 'morning', 'morning', 'want', 'put', 'fingers', 'hair', 'wrap', 'legs', 'love', 'till', 'eyes', 'roll', 'back', 'tryin', 'put', 'bed', 'bed', 'bed', 'amma', 'put', 'bed', 'bed', 'bed', 'ama', 'rock', 'body', 'turn', 'love', 'war', 'soldier', 'touching', 'like', 'first', 'time', 'amma', 'put', 'bed', 'bed', 'bed', 'ama', 'put', 'bed', 'bed', 'bed', 'watch', 'sunlight', 'peak', 'horizons', 'ou-ou', 'ou-ou', 'ou-ou', 'ou-ou', 'sun', 'ai', 'thing', 'shining', 'ou-ou', 'ou-ou', 'ou-ou', 'ou-ou', 'amma', 'send', 'world', 'love', 'tell', 'everybody', 'aye', 'aye', 'aye', 'x10', 'want', 'put', 'fingers', 'hair', 'wrap', 'legs', 'love', 'till', 'eyes', 'roll', 'back', 'tryin', 'put', 'bed', 'bed', 'bed', 'amma', 'put', 'bed', 'bed', 'bed', 'ama', 'rock', 'body', 'turn', 'love', 'war', 'soldier', 'touching', 'like', 'first', 'time', 'amma', 'put', 'bed', 'bed', 'bed', 'ama', 'put', 'bed', 'bed', 'bed']"
4,ML5,Morgan Heritage,Don't Haffi Dread,angry,"['yeah', 'yeah', 'yeah', 'ragga', 'ragga', 'ha', 'fi', 'dread', 'rasta', 'ha', 'fi', 'dread', 'dreadlocks', 'thing', 'divine', 'conception', 'heart', 'well', 'repeat', 'oh', 'life', 'livity', 'lived', 'fathers', 'history', 'uphold', 'anciency', 'prophecy', 'trust', 'power', 'trinity', 'yeah', 'got', 'believe', 'majesty', 'oh', 'yes', 'lineage', 'divinity', 'first', 'step', 'serenity', 'knowing', 'one', 'self', 'true', 'royalty', 'yeah', 'ha', 'fi', 'dread', 'rasta', 'yeah', 'ha', 'fi', 'dread', 'dreadlocks', 'thing', 'divine', 'conception', 'heart', 'well', 'repeat', 'afraid', 'jah', 'ever', 'burning', 'fire', 'trust', 'jah', 'fire', 'never', 'get', 'burn', 'fire', 'reigns', 'heat', 'air', 'water', 'water', 'put', 'jah', 'fire', 'jah', 'fire', 'going', 'lift', 'rasta', 'higher', 'ha', 'fi', 'dread', 'rasta', 'yeah', 'ha', 'fi', 'dread', 'dreadlocks', 'thing', 'divine', 'conception', 'heart', 'well', 'repeat']"
5,ML6,Whitney Houston,My Love Is Your Love,happy,"['tomorrow', 'judgement', 'day', 'standin', 'front', 'line', 'lord', 'asks', 'life', 'say', 'spent', 'wake', 'world', 'war', '3', 'see', 'destruction', 'poverty', 'feel', 'like', 'want', 'go', 'home', 'okay', 'comin', 'love', 'love', 'love', 'love', 'would', 'take', 'eternity', 'break', 'us', 'chains', 'amistad', 'could', 'hold', 'us', 'love', 'love', 'love', 'love', 'would', 'take', 'eternity', 'break', 'us', 'chains', 'amistad', 'could', 'hold', 'us', 'lose', 'fame', 'fortune', 'homeless', 'street', 'sleepin', 'grand', 'central', 'station', 'okay', 'sleepin', 'years', 'pass', 'us', 'stay', 'young', 'eyes', 'matter', 'old', 'get', 'okay', 'long', 'got', 'babe', 'love', 'love', 'love', 'love', 'would', 'take', 'eternity', 'break', 'us', 'chains', 'amistad', 'could', 'hold', 'us', 'love', 'love', 'love', 'love', 'would', 'take', 'eternity', 'break', 'us', 'chains', 'amistad', 'could', 'hold', 'us', 'die', 'day', 'cry', 'cause', 'earth', 'meant', 'stay', 'matter', 'people', 'say', 'waiting', 'judgement', 'day', 'love', 'love', 'love', 'love', 'would', 'take', 'eternity', 'break', 'us', 'chains', 'amistad', 'could', 'hold', 'us', 'love', 'love', 'love', 'love', 'would', 'take', 'eternity', 'break', 'us', 'chains', 'amistad', 'could', 'hold', 'us', 'love', 'love', 'love', 'love', 'would', 'take', 'eternity', 'break', 'us', 'chains', 'amistad', 'could', 'hold', 'us']"
6,ML7,Serani,Study People,angry,"['seri', 'seri', 'seri', 'serani', 'everywhere', 'go', 'find', 'hypocrites', 'badminds', 'every', 'every', 'every', 'every', 'everywhere', 'go', 'fine', 'hypocrites', 'badminds', 'every', 'every', 'every', 'every', 'everywhere', 'go', 'find', 'backstabbers', 'parasites', 'somebody', 'tell', 'want', 'say', 'ya', 'study', 'people', 'dem', 'people', 'study', 'bare', 'evil', 'good', 'ova', 'evil', 'see', 'say', 'dem', 'feeble', 'fighting', 'cause', 'mi', 'pause', 'yeah', 'say', 'ya', 'study', 'people', 'dem', 'people', 'study', 'bare', 'evil', 'good', 'ova', 'evil', 'see', 'say', 'dem', 'feeble', 'fightin', 'cause', 'know', 'everywhere', 'evil', 'atmosphere', 'things', 'catching', 'righteous', 'please', 'beware', 'dem', 'watchin', 'chit', 'chatting', 'clear', 'many', 'envious', 'power', 'help', 'father', 'serani', 'never', 'fear', 'another', 'live', 'never', 'give', 'choose', 'ripper', 'somebody', 'tell', 'want', 'say', 'ya', 'study', 'people', 'dem', 'people', 'study', 'bare', 'evil', 'good', 'ova', 'evil', 'see', 'say', 'dem', 'feeble', 'fighting', 'cause', 'mi', 'pause', 'yeah', 'say', 'ya', 'study', 'people', 'dem', 'people', 'study', 'bare', 'evil', 'good', 'ova', 'evil', 'see', 'say', 'dem', 'feeble', 'fightin', 'cause', 'fassy', 'dem', 'plan', 'dem', 'ago', 'lose', 'battle', 'cause', 'almighty', 'ah', 'dan', 'conscience', 'free', 'cah', 'never', 'wrong', 'music', 'make', 'write', 'sing', 'song', 'remember', 'said', 'see', 'face', 'genuine', 'ones', 'fakes', 'judge', 'dem', 'way', 'embrace', 'disgrace', 'somebody', 'tell', 'want', 'say', 'ya', 'study', 'people', 'dem', 'people', 'study', 'bare', 'evil', 'good', 'ova', 'evil', 'see', 'say', 'dem', 'feeble', 'fighting', 'cause', 'mi', 'pause', 'yeah', 'say', 'ya', 'study', 'people', 'dem', 'people', 'study', 'bare', 'evil', 'good', 'ova', 'evil', 'see', 'say', 'dem', 'feeble', 'fightin', 'cause', 'everywhere', 'go', 'fine', 'hypocrites', 'badminds', 'every', 'every', 'every', 'every', 'everywhere', 'go', 'find', 'backstabbers', 'parasites', 'somebody', 'tell', 'want', 'say', 'ya', 'study', 'people', 'dem', 'people', 'study', 'bare', 'evil', 'good', 'ova', 'evil', 'see', 'say', 'dem', 'feeble', 'fighting', 'cause', 'mi', 'pause', 'yeah', 'say', 'ya', 'study', 'people', 'dem', 'people', 'study', 'bare', 'evil', 'good', 'ova', 'evil', 'see', 'say', 'dem', 'feeble', 'fightin', 'cause']"
7,ML8,Austra,Spellwork,angry,"['habit', 'alone', 'separate', 'moan', 'feeding', 'bones', 'anything', 'grown', 'command', 'post', 'nobody', 'shows', 'mornings', 'rest', 'evenings', 'work', 'debt', 'spent', 'till', 'rest', 'left', 'adore', 'must', 'call', 'evil', 'night', 'speaking', 'words', 'grace', 'spellwork', 'delights', 'feel', 'desire', 'burns', 'like', 'fire', 'feel', 'desire', 'burns', 'like', 'fire', 'work', 'alone', 'saving', 'soul', 'yesterday', 'hurts', 'tomorrow', 'worse', 'send', 'sign', 'body', 'aligned', 'ready', 'waste', 'limbs', 'face', 'pores', 'wide', 'open', 'bleed', 'potion', 'spellwork', 'lies', 'must', 'call', 'evil', 'night', 'speaking', 'words', 'grace', 'spellwork', 'delights', 'feel', 'desire', 'burns', 'like', 'fire', 'feel', 'desire', 'burns', 'like', 'fire', 'must', 'call', 'evil', 'night', 'speaking', 'words', 'grace', 'spellwork', 'delights', 'feel', 'desire', 'burns', 'like', 'fire', 'feel', 'desire', 'burns', 'like', 'fire']"
8,ML9,Coro,Can't Let You Go,happy,"['known', 'way', 'serves', 'right', 'fall', 'love', 'brought', 'love', 'took', 'back', 'fact', 'love', 'game', 'play', 'one', 'thing', 'got', 'say', 'gave', 'heart', 'gave', 'world', 'spent', 'lonely', 'nights', 'right', 'cold', 'every', 'time', 'touch', 'body', 'starts', 'quiver', 'want', 'love', 'night', 'long', 'let', 'go', 'love', 'need', 'keep', 'wanting', 'push', 'love', 'aside', 'let', 'go', 'love', 'need', 'keep', 'wanting', 'push', 'love', 'aside', 'help', 'think', 'made', 'feel', 'every', 'time', 'think', 'two', 'us', 'realize', 'realize', 'seem', 'buy', 'seem', 'buy', 'gone', 'gone', 'gone', 'let', 'go', 'love', 'need', 'keep', 'wanting', 'push', 'love', 'aside', 'let', 'go', 'love', 'need', 'keep', 'wanting', 'push', 'love', 'aside', 'let', 'go', 'love', 'fit', 'like', 'glove', 'hold', 'tight', 'feelings', 'oh', 'right', 'forget', 'times', 'mine', 'mine', 'love', 'true', 'come', 'back', 'one', 'loves', 'every', 'time', 'touch', 'body', 'starts', 'quiver', 'want', 'love', 'night', 'long', 'known', 'way', 'serves', 'right', 'fall', 'love', 'help', 'think', 'left', 'feeling', 'every', 'time', 'think', 'two', 'us', 'realize', 'realize', 'seem', 'buy', 'seem', 'buy', 'gone', 'gone', 'gone', 'let', 'go', 'love', 'need', 'keep', 'wanting', 'push', 'love', 'aside', 'let', 'go', 'love', 'need', 'keep', 'wanting', 'push', 'love', 'aside', 'let', 'go', 'love', 'need', 'keep', 'wanting', 'push', 'love', 'aside', 'let', 'go', 'love', 'need', 'keep', 'wanting', 'push', 'love', 'aside', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go']"
9,ML10,Beenie Man,Slam,relaxed,"['well', 'like', 'menance', 'di', 'society', 'big', 'enough', 'fi', 'di', 'ghetto', 'lady', 'gals', 'rock', 'gwaan', 'crazy', 'big', 'tip', 'sing', 'along', 'sung', 'gimmie', 'girl', 'dem', 'wit', 'wickedest', 'slam', 'di', 'kinda', 'girl', 'wheyknow', 'fi', 'love', 'man', 'man', 'yuh', 'fi', 'get', 'di', 'medal', 'yuh', 'fi', 'get', 'slam', 'real', 'ghetto', 'girl', 'gimmie', 'girl', 'dem', 'wit', 'wickedest', 'slam', 'di', 'kinda', 'girl', 'whey', 'know', 'fi', 'love', 'man', 'man', 'yuh', 'fi', 'get', 'di', 'medal', 'yuh', 'fi', 'get', 'slam', 'real', 'ghetto', 'girl', 'boy', 'man', 'yuh', 'never', 'get', 'yuh', 'pedal', 'wheel', 'yuh', 'nevah', 'yuh', 'bananna', 'peel', 'man', 'yuh', 'fi', 'know', 'good', 'lovin', 'feel', 'yuh', 'affi', 'find', 'girl', 'whey', 'live', 'maxfield', 'man', 'yuh', 'love', 'girlfriend', 'yuh', 'heart', 'yuh', 'get', 'di', 'slam', 'whey', 'yuh', 'want', 'bad', 'things', 'gwaan', 'yuh', 'hide', 'got', 'junglis', 'girl', 'pon', 'de', 'side', 'ghetto', 'girl', 'love', 'di', 'wickedest', 'slam', 'di', 'kinda', 'girl', 'whey', 'know', 'fi', 'love', 'man', 'man', 'yuh', 'fi', 'get', 'di', 'medal', 'yuh', 'fi', 'get', 'slam', 'real', 'ghetto', 'girl', 'gimmie', 'girl', 'dem', 'wit', 'wickedest', 'slam', 'di', 'kinda', 'girl', 'whey', 'know', 'fi', 'love', 'man', 'man', 'yuh', 'fi', 'get', 'di', 'medal', 'yuh', 'fi', 'get', 'slam', 'real', 'ghetto', 'girl', 'caw', 'gon', 'wife', 'girl', 'bow', 'gal', 'inna', 'bed', 'nuh', 'know', 'gon', 'wrinkle', 'screw', 'dun', 'gal', 'seaview', 'gon', 'run', 'get', 'uptown', 'girl', 'true', 'brown', 'pretty', 'like', 'pearl', 'true', 'know', 'mamma', 'man', 'round', 'de', 'world', 'could-a', 'find', 'girl-a', 'name', 'earl', 'man', 'yuh', 'ghetto', 'girl', 'look', 'fi', 'proud', 'although', 'might-a', 'look', 'kinda', 'loud', 'come', 'run', 'di', 'road', 'ghetto', 'girl', 'dem', 'movin', 'crowd', 'gimmie', 'girl', 'dem', 'wit', 'wickedest', 'slam', 'di', 'kinda', 'girl', 'whey', 'know', 'fi', 'love', 'man', 'man', 'yuh', 'fi', 'get', 'di', 'medal', 'yuh', 'fi', 'get', 'slam', 'real', 'ghetto', 'girl', 'gimmie', 'girl', 'dem', 'wit', 'wickedest', 'slam', 'di', 'kinda', 'girl', 'whey', 'know', 'fi', 'love', 'man', 'man', 'yuh', 'fi', 'get', 'di', 'medal', 'yuh', 'fi', 'get', 'slam', 'real', 'ghetto', 'girl', 'man', 'yuh', 'never', 'get', 'pedal', 'wheel', 'yuh', 'nevah', 'yuh', 'bananna', 'peel', 'man', 'yuh', 'fi', 'know', 'good', 'lovin', 'feel', 'yuh', 'affi', 'get', 'girl', 'whey', 'live', 'maxfield', 'man', 'yuh', 'love', 'girlfriend', 'heart', 'yuh', 'get', 'di', 'slam', 'yuh', 'want', 'bad', 'things', 'gwaan', 'yuh', 'hide', 'got', 'junglis', 'girl', 'pon', 'de', 'side', 'ghetto', 'girl', 'dem', 'di', 'wickedest', 'slam', 'di', 'kinda', 'girl', 'whey', 'know', 'fi', 'love', 'man', 'man', 'yuh', 'fi', 'get', 'di', 'medal', 'yuh', 'fi', 'get', 'slam', 'real', 'ghetto', 'girl']"
