,word,totalRepetitions,fileOcurrences,weight
1310,"('home', 'home')",120,25,1.1645962732919255
2085,"('oh', 'oh')",129,20,1.0015527950310559
466,"('come', 'home')",112,23,1.0
3213,"('yeah', 'yeah')",86,29,0.968167701863354
1233,"('heavenly', 'peace')",81,26,0.8175465838509317
2719,"('take', 'home')",131,16,0.8136645962732919
2538,"('sleep', 'heavenly')",76,25,0.7375776397515528
757,"('far', 'away')",79,23,0.7053571428571429
932,"('girl', 'girl')",112,16,0.6956521739130435
2484,"('silent', 'night')",62,26,0.6257763975155279
279,"('blue', 'blue')",84,19,0.6195652173913043
1273,"('holy', 'night')",56,26,0.5652173913043478
1549,"('let', 'go')",52,28,0.5652173913043478
2032,"('night', 'holy')",55,25,0.5337732919254659
281,"('blue', 'christmas')",81,16,0.5031055900621118
3049,"('way', 'home')",76,16,0.4720496894409938
192,"('back', 'home')",58,20,0.4503105590062112
2062,"('oh', 'baby')",61,19,0.44992236024844723
119,"('baby', 'baby')",49,22,0.41847826086956524
1641,"('little', 'girl')",65,16,0.40372670807453415
138,"('baby', 'got')",42,23,0.375
405,"('child', 'holy')",36,25,0.34937888198757766
2027,"('night', 'calm')",36,25,0.34937888198757766
375,"('calm', 'bright')",36,25,0.34937888198757766
2957,"('virgin', 'mother')",36,25,0.34937888198757766
1270,"('holy', 'infant')",36,25,0.34937888198757766
1916,"('mother', 'child')",36,25,0.34937888198757766
1872,"('mild', 'sleep')",36,25,0.34937888198757766
2171,"('peace', 'sleep')",39,23,0.3482142857142857
2755,"('tender', 'mild')",35,25,0.33967391304347827
1397,"('infant', 'tender')",35,25,0.33967391304347827
2991,"('want', 'go')",62,14,0.33695652173913043
1028,"('go', 'home')",78,11,0.3330745341614907
476,"('come', 'true')",38,22,0.3245341614906832
2094,"('oh', 'yeah')",34,24,0.3167701863354037
427,"('christmas', 'tree')",37,21,0.3016304347826087
1325,"('home', 'oh')",45,17,0.296972049689441
181,"('baby', 'want')",47,16,0.2919254658385093
887,"('get', 'home')",51,14,0.27717391304347827
484,"('coming', 'home')",63,11,0.26902173913043476
982,"('girl', 'want')",53,13,0.2674689440993789
2676,"('sun', 'sun')",108,6,0.2515527950310559
