,word,totalRepetitions,fileOcurrences,weight
6,'s,1528,366,217.09937888198758
132,n't,1510,341,199.88742236024845
4,'m,1020,231,91.46739130434783
95,home,1442,157,87.88586956521739
115,love,775,250,75.21350931677019
18,baby,1009,172,67.37111801242236
5,'re,771,217,64.94836956521739
71,girl,1160,142,63.94409937888199
3,'ll,738,209,59.87655279503105
102,know,652,222,56.18944099378882
142,oh,690,185,49.55357142857143
109,like,507,170,33.45885093167702
39,come,516,164,32.850931677018636
81,got,487,156,29.492236024844722
165,see,431,173,28.945263975155278
73,go,507,134,26.373447204968944
195,time,406,159,25.059782608695652
133,na,473,126,23.13586956521739
106,let,433,132,22.187888198757765
7,'ve,408,134,21.22360248447205
186,take,483,113,21.1875
144,one,348,143,19.31832298136646
140,night,376,131,19.12111801242236
217,yeah,405,114,17.92313664596273
206,want,400,110,17.080745341614907
69,get,362,120,16.86335403726708
26,blue,450,94,16.42080745341615
80,good,402,105,16.38586956521739
207,way,343,116,15.445652173913043
136,never,295,119,13.627717391304348
46,day,270,128,13.416149068322982
30,ca,297,115,13.258928571428571
160,right,264,116,11.888198757763975
110,little,321,94,11.713509316770187
182,sun,406,74,11.66304347826087
214,world,275,95,10.141692546583851
17,away,261,100,10.131987577639752
174,sleep,273,83,8.796195652173912
43,could,225,99,8.647127329192546
62,feel,233,94,8.502329192546584
48,dream,337,59,7.718555900621118
88,heart,189,101,7.4103260869565215
19,back,221,86,7.378105590062112
164,say,185,98,7.038043478260869
135,need,208,87,7.024844720496894
1,'cause,195,91,6.888586956521739
117,make,188,94,6.8602484472049685
211,wo,183,93,6.606754658385094
205,wan,239,70,6.494565217391305
119,man,224,73,6.3478260869565215
78,gon,207,77,6.1875
123,mind,220,69,5.892857142857143
51,easy,375,40,5.8229813664596275
184,sweet,212,66,5.431677018633541
112,long,178,78,5.3897515527950315
191,think,186,74,5.343167701863354
149,peace,215,64,5.341614906832298
215,would,225,61,5.328027950310559
55,every,163,84,5.315217391304348
107,life,155,88,5.295031055900621
187,tell,158,84,5.1521739130434785
10,ai,207,64,5.142857142857143
173,sky,176,74,5.055900621118012
67,free,273,46,4.875
72,give,171,70,4.646739130434782
99,kind,206,53,4.238354037267081
35,christmas,254,42,4.141304347826087
11,alone,149,68,3.9332298136645965
163,said,150,64,3.7267080745341614
12,always,146,64,3.627329192546584
57,eyes,143,65,3.608307453416149
197,tonight,177,52,3.5729813664596275
208,well,139,66,3.561335403726708
98,keep,175,51,3.464673913043478
96,honey,241,36,3.3680124223602483
79,gone,144,59,3.298136645962733
145,ooh,186,45,3.249223602484472
113,look,126,65,3.1793478260869565
190,things,111,73,3.1455745341614905
63,find,115,66,2.9464285714285716
209,white,164,45,2.8649068322981366
2,'d,119,61,2.817934782608696
56,everything,132,54,2.767080745341615
94,holy,199,35,2.703804347826087
13,angel,229,30,2.6669254658385095
8,...,113,60,2.6319875776397517
74,god,161,42,2.625
203,us,131,51,2.593555900621118
16,around,99,67,2.574922360248447
199,true,111,57,2.456133540372671
129,much,98,64,2.4347826086956523
114,lord,159,38,2.345496894409938
61,far,125,47,2.280667701863354
198,tree,109,52,2.200310559006211
89,heaven,136,40,2.111801242236025
210,without,106,51,2.0986024844720497
189,thing,98,55,2.092391304347826
172,sing,111,48,2.0683229813664594
177,song,91,56,1.9782608695652173
218,yes,104,49,1.9782608695652173
153,pretty,144,35,1.9565217391304348
65,fly,119,41,1.8940217391304348
54,ever,89,53,1.8311335403726707
134,name,122,38,1.799689440993789
92,high,113,41,1.798524844720497
87,hear,84,55,1.7934782608695652
202,two,103,43,1.719332298136646
152,please,111,39,1.6805124223602483
137,new,107,40,1.6614906832298137
143,old,85,50,1.6498447204968945
91,hey,124,34,1.6366459627329193
49,dreams,93,45,1.624611801242236
108,light,83,50,1.611024844720497
158,really,92,45,1.6071428571428572
29,bring,127,32,1.5776397515527951
27,boy,116,35,1.576086956521739
97,house,162,25,1.5722049689440993
28,bright,84,47,1.5326086956521738
20,bed,116,34,1.531055900621118
34,child,86,45,1.5023291925465838
0,'',87,44,1.486024844720497
21,believe,98,37,1.4076086956521738
181,still,84,43,1.4021739130434783
76,goin,133,26,1.3423913043478262
58,face,76,45,1.3276397515527951
185,ta,85,40,1.3198757763975155
77,going,84,40,1.3043478260869565
111,live,77,42,1.2554347826086956
125,moment,79,40,1.2267080745341614
127,morning,74,42,1.2065217391304348
82,green,91,34,1.201086956521739
24,bird,180,17,1.187888198757764
141,nothing,79,38,1.1653726708074534
22,better,81,37,1.1634316770186335
93,hold,73,41,1.1618788819875776
90,heavenly,99,30,1.1529503105590062
14,another,76,39,1.1506211180124224
84,happy,73,39,1.1052018633540373
