,Unnamed: 0,word,totalRepetitions,fileOcurrences,weight
0,83,home,1442,157,87.8858695652174
1,103,love,775,250,75.21350931677019
3,60,girl,1160,142,63.94409937888199
4,90,know,652,222,56.18944099378882
5,128,oh,690,185,49.55357142857143
6,190,want,639,158,39.193322981366464
7,97,like,507,170,33.45885093167702
8,28,come,516,164,32.85093167701864
9,69,got,487,156,29.49223602484472
10,151,see,431,173,28.94526397515528
11,62,go,507,134,26.373447204968944
12,180,time,406,159,25.05978260869565
13,94,let,433,132,22.18788819875777
14,171,take,483,113,21.1875
15,130,one,348,143,19.31832298136646
16,126,night,376,131,19.121118012422357
17,200,yeah,405,114,17.923136645962728
18,58,get,362,120,16.86335403726708
20,68,good,402,105,16.38586956521739
21,191,way,343,116,15.445652173913045
22,122,never,295,119,13.627717391304348
23,35,day,270,128,13.416149068322984
24,146,right,264,116,11.888198757763975
25,98,little,321,94,11.713509316770187
27,66,going,277,106,11.39829192546584
28,197,world,275,95,10.141692546583851
29,7,away,261,100,10.131987577639752
31,32,could,225,99,8.647127329192545
32,51,feel,233,94,8.502329192546583
34,76,heart,189,101,7.4103260869565215
35,9,back,221,86,7.378105590062113
36,150,say,185,98,7.038043478260869
37,121,need,208,87,7.024844720496894
38,105,make,188,94,6.8602484472049685
39,107,man,224,73,6.3478260869565215
40,111,mind,220,69,5.892857142857142
43,100,long,178,78,5.389751552795032
44,176,think,186,74,5.343167701863353
46,198,would,225,61,5.328027950310559
47,44,every,163,84,5.315217391304348
48,95,life,155,88,5.295031055900621
49,172,tell,158,84,5.152173913043479
52,56,free,273,46,4.875
53,61,give,171,70,4.646739130434782
54,87,kind,206,53,4.238354037267081
57,149,said,150,64,3.7267080745341614
58,2,always,146,64,3.627329192546584
61,192,well,139,66,3.561335403726708
62,86,keep,175,51,3.464673913043478
66,101,look,126,65,3.1793478260869565
67,175,things,111,73,3.1455745341614905
68,52,find,115,66,2.946428571428572
69,193,white,164,45,2.8649068322981366
70,45,everything,132,54,2.767080745341615
73,63,god,161,42,2.625
74,188,us,131,51,2.5935559006211184
75,6,around,99,67,2.5749223602484466
76,184,true,111,57,2.456133540372671
77,117,much,98,64,2.4347826086956523
79,50,far,125,47,2.2806677018633543
82,194,without,106,51,2.0986024844720497
83,174,thing,98,55,2.092391304347826
85,201,yes,104,49,1.9782608695652173
87,139,pretty,144,35,1.9565217391304348
89,43,ever,89,53,1.8311335403726707
90,120,name,122,38,1.7996894409937891
91,80,high,113,41,1.798524844720497
93,187,two,103,43,1.719332298136646
94,138,please,111,39,1.6805124223602483
95,123,new,107,40,1.6614906832298135
96,129,old,85,50,1.6498447204968945
99,96,light,83,50,1.611024844720497
100,144,really,92,45,1.6071428571428572
103,85,house,162,25,1.5722049689440991
106,23,child,86,45,1.5023291925465838
107,11,believe,98,37,1.4076086956521738
108,167,still,84,43,1.4021739130434785
110,47,face,76,45,1.3276397515527951
111,99,live,77,42,1.2554347826086956
113,115,morning,74,42,1.2065217391304348
116,127,nothing,79,38,1.1653726708074534
117,12,better,81,37,1.1634316770186337
120,4,another,76,39,1.1506211180124224
121,72,happy,73,39,1.1052018633540373
122,181,together,72,39,1.090062111801242
123,42,even,73,37,1.0485248447204971
126,153,set,105,25,1.0190217391304348
127,162,something,71,36,0.9922360248447204
128,92,leave,68,37,0.9767080745341616
130,137,place,61,41,0.970885093167702
131,74,head,78,32,0.968944099378882
133,108,may,77,32,0.9565217391304348
135,31,coming,91,26,0.9184782608695652
137,136,people,67,35,0.9103260869565216
138,186,turn,65,36,0.908385093167702
140,119,must,66,34,0.8711180124223602
142,169,sure,65,34,0.8579192546583851
143,20,call,65,34,0.8579192546583851
145,91,last,70,31,0.8423913043478259
148,195,woman,72,29,0.8105590062111802
149,156,show,66,31,0.7942546583850931
151,22,care,60,34,0.7919254658385093
153,93,left,56,36,0.7826086956521741
154,104,made,52,38,0.7670807453416149
155,106,makes,65,30,0.7569875776397516
156,109,maybe,65,30,0.7569875776397516
157,185,try,60,32,0.7453416149068323
158,165,start,54,35,0.7336956521739131
159,140,put,63,30,0.7336956521739131
160,73,hard,60,30,0.6987577639751553
161,55,found,58,30,0.6754658385093167
162,26,close,60,29,0.6754658385093167
163,166,stay,60,29,0.6754658385093167
164,53,first,58,30,0.6754658385093167
166,152,seen,59,29,0.6642080745341615
167,57,future,61,28,0.6630434782608695
168,71,hand,53,32,0.6583850931677019
170,41,enough,53,31,0.6378105590062112
172,125,nice,73,22,0.6234472049689441
174,29,comes,58,27,0.6079192546583851
175,59,getting,68,23,0.6071428571428571
176,118,music,67,22,0.5722049689440993
177,143,real,55,26,0.5551242236024845
178,25,city,71,20,0.5512422360248447
181,48,family,100,14,0.5434782608695652
182,13,big,50,27,0.5240683229813664
186,114,money,58,20,0.4503105590062112
191,124,next,59,17,0.3893633540372671
193,177,three,52,17,0.34316770186335405
