,word,totalRepetitions,fileOcurrences,weight
2696,"('sin', 'ti')",119,33,1.5244565217391304
1521,"('la', 'vida')",87,35,1.1820652173913044
1700,"('lonely', 'lonely')",169,18,1.1809006211180124
1670,"('lo', 'que')",77,39,1.1657608695652173
852,"('en', 'el')",74,37,1.062888198757764
2367,"('que', 'te')",75,36,1.0481366459627328
630,"('de', 'la')",67,38,0.9883540372670807
635,"('de', 'mi')",62,30,0.7220496894409938
3038,"('time', 'time')",144,12,0.6708074534161491
854,"('en', 'la')",52,29,0.5854037267080745
856,"('en', 'mi')",55,27,0.5764751552795031
901,"('es', 'la')",70,21,0.5706521739130435
652,"('de', 'ti')",61,23,0.5446428571428571
802,"('el', 'amor')",63,22,0.5380434782608695
2312,"('que', 'el')",53,26,0.5349378881987578
908,"('es', 'que')",67,20,0.5201863354037267
654,"('de', 'tu')",51,24,0.4751552795031056
1851,"('mi', 'vida')",51,22,0.4355590062111801
2381,"('que', 'yo')",44,23,0.39285714285714285
838,"('el', 'tiempo')",48,21,0.391304347826087
1574,"('let', 'go')",36,21,0.29347826086956524
497,"('con', 'el')",40,17,0.2639751552795031
3492,"('yo', 'te')",38,17,0.25077639751552794
656,"('de', 'un')",35,16,0.21739130434782608
2371,"('que', 'tu')",28,20,0.21739130434782608
2327,"('que', 'hay')",29,19,0.2138975155279503
2357,"('que', 'se')",30,18,0.2096273291925466
2320,"('que', 'estoy')",27,19,0.19914596273291926
2071,"('oh', 'oh')",42,12,0.1956521739130435
824,"('el', 'mundo')",33,15,0.1921583850931677
2315,"('que', 'es')",26,19,0.19177018633540371
3094,"('tu', 'amor')",27,17,0.1781832298136646
2248,"('por', 'ti')",35,13,0.1766304347826087
910,"('es', 'un')",32,14,0.17391304347826086
617,"('de', 'amor')",32,14,0.17391304347826086
2928,"('te', 'quiero')",30,14,0.16304347826086957
3329,"('waste', 'time')",38,10,0.14751552795031056
801,"('el', 'alma')",24,15,0.13975155279503104
1737,"('long', 'lonely')",36,10,0.13975155279503104
867,"('en', 'un')",26,13,0.13121118012422361
1127,"('get', 'lonely')",48,7,0.13043478260869565
2661,"('sick', 'sick')",47,7,0.12771739130434784
2330,"('que', 'la')",28,11,0.11956521739130435
304,"('blind', 'blind')",77,4,0.11956521739130435
806,"('el', 'cielo')",23,13,0.11607142857142858
964,"('every', 'time')",27,11,0.11529503105590062
2506,"('sad', 'sad')",33,9,0.11529503105590062
2556,"('se', 'que')",21,14,0.11413043478260869
1451,"('know', 'know')",24,12,0.11180124223602485
897,"('es', 'el')",23,12,0.10714285714285714
2726,"('slow', 'slow')",46,6,0.10714285714285714
2930,"('te', 'vas')",25,11,0.10675465838509317
1835,"('mi', 'corazón')",23,11,0.09821428571428571
3416,"('would', 'like')",23,11,0.09821428571428571
2581,"('see', 'see')",36,7,0.09782608695652174
2314,"('que', 'en')",19,13,0.09588509316770186
1041,"('feel', 'like')",19,13,0.09588509316770186
655,"('de', 'tus')",20,12,0.09316770186335403
634,"('de', 'los')",17,14,0.09239130434782608
1071,"('find', 'way')",29,8,0.09006211180124224
1301,"('hay', 'que')",19,12,0.08850931677018634
1511,"('la', 'que')",28,8,0.08695652173913043
1741,"('long', 'time')",28,8,0.08695652173913043
865,"('en', 'tu')",20,11,0.08540372670807453
105,"('amor', 'que')",20,11,0.08540372670807453
2245,"('por', 'que')",18,12,0.08385093167701864
3107,"('tu', 'lado')",18,12,0.08385093167701864
3312,"('want', 'see')",27,8,0.08385093167701864
168,"('asi', 'es')",43,5,0.08346273291925466
2905,"('te', 'amo')",35,6,0.08152173913043478
2085,"('oh', 'yeah')",19,11,0.0811335403726708
2100,"('one', 'day')",19,11,0.0811335403726708
102,"('amor', 'es')",26,8,0.08074534161490683
3097,"('tu', 'boca')",23,9,0.08035714285714286
3162,"('un', 'día')",17,12,0.07919254658385093
2239,"('por', 'el')",18,11,0.07686335403726709
2646,"('si', 'te')",22,9,0.07686335403726709
165,"('asi', 'asi')",97,2,0.07531055900621118
2887,"('tal', 'vez')",19,10,0.07375776397515528
800,"('el', 'aire')",19,10,0.07375776397515528
499,"('con', 'la')",17,11,0.07259316770186336
3464,"('yeah', 'yeah')",30,6,0.06987577639751552
537,"('could', 'die')",29,6,0.06754658385093168
1754,"('los', 'dos')",17,10,0.06599378881987578
3250,"('vivir', 'sin')",17,10,0.06599378881987578
1683,"('lonely', 'baby')",33,5,0.0640527950310559
