,word,totalRepetitions,fileOcurrences,weight
6,'s,1319,308,157.70652173913044
146,n't,1393,291,157.36141304347825
173,que,1414,143,78.4945652173913
4,'m,947,205,75.36296583850931
54,de,936,142,51.59627329192546
5,'re,645,184,46.07142857142857
63,el,726,134,37.765527950310556
109,la,696,133,35.93478260869565
218,time,591,138,31.660714285714285
108,know,514,149,29.7305900621118
123,lonely,859,83,27.677406832298136
119,like,421,158,25.8222049689441
3,'ll,371,146,21.027173913043477
210,te,491,107,20.394798136645964
64,en,437,115,19.508928571428573
158,oh,404,113,17.722049689440993
160,one,369,123,17.61917701863354
193,sin,361,118,16.536490683229815
187,see,339,124,16.31832298136646
66,es,446,94,16.274844720496894
92,got,357,117,16.214673913043477
37,ca,341,122,16.149844720496894
226,tu,424,94,15.472049689440993
230,un,375,102,14.84860248447205
7,'ve,300,127,14.790372670807454
87,go,307,124,14.777950310559007
134,mi,372,94,13.574534161490684
83,get,347,98,13.201086956521738
254,yo,335,96,12.48447204968944
208,take,296,97,11.145962732919255
152,never,246,109,10.40916149068323
115,let,293,89,10.12305900621118
147,na,312,77,9.326086956521738
170,por,252,93,9.097826086956522
186,se,266,87,8.983695652173912
23,away,266,87,8.983695652173912
245,way,242,92,8.642857142857142
74,fall,299,74,8.589285714285714
16,amor,278,77,8.309782608695652
253,yeah,244,78,7.388198757763975
25,back,194,98,7.380434782608695
45,con,242,78,7.327639751552795
185,say,209,90,7.3020186335403725
47,could,197,90,6.88276397515528
42,come,181,95,6.675077639751553
8,...,176,94,6.422360248447205
216,ti,273,59,6.252717391304348
252,ya,204,78,6.1770186335403725
122,lo,209,76,6.166149068322981
78,feel,195,76,5.753105590062112
242,want,193,71,5.319487577639752
183,sad,254,51,5.028726708074534
154,night,195,65,4.920419254658385
1,'cause,178,70,4.836956521739131
178,right,159,74,4.567546583850931
124,long,179,60,4.169254658385094
96,hay,169,63,4.133152173913044
246,well,157,67,4.083462732919255
215,think,153,68,4.038819875776397
234,vida,160,62,3.8509316770186337
191,sick,236,42,3.847826086956522
151,need,156,61,3.6940993788819876
80,find,144,64,3.577639751552795
194,slow,230,40,3.5714285714285716
132,make,142,64,3.527950310559006
90,gon,171,53,3.518245341614907
231,una,138,65,3.482142857142857
165,pero,141,62,3.393633540372671
248,wo,146,59,3.343944099378882
52,day,138,60,3.2142857142857144
190,si,147,56,3.1956521739130435
84,girl,203,40,3.152173913043478
44,como,125,58,2.81444099378882
55,dead,143,48,2.6645962732919255
13,alone,127,54,2.6622670807453415
73,eyes,107,64,2.658385093167702
91,gone,117,57,2.5888975155279503
20,around,125,53,2.5718167701863353
174,quiero,144,46,2.5714285714285716
24,baby,138,47,2.517857142857143
11,al,121,53,2.4895186335403725
212,tell,129,49,2.453804347826087
202,still,100,62,2.406832298136646
250,would,111,55,2.3699534161490683
126,los,103,59,2.359083850931677
59,dirty,217,28,2.358695652173913
39,call,129,47,2.3536490683229814
184,said,96,62,2.31055900621118
164,para,112,52,2.260869565217391
125,look,111,51,2.1975931677018634
107,keep,115,47,2.0982142857142856
56,death,135,39,2.043866459627329
227,turn,119,43,1.986413043478261
110,las,102,50,1.9798136645962734
128,love,89,55,1.9002329192546583
153,ni,131,37,1.8815993788819876
10,ai,120,40,1.8633540372670807
171,porque,106,44,1.81055900621118
89,going,119,39,1.8016304347826086
0,'',116,40,1.8012422360248448
49,cuando,98,44,1.673913043478261
2,'d,93,46,1.6607142857142858
127,lost,91,46,1.625
136,mind,89,47,1.623835403726708
58,die,113,36,1.579192546583851
120,little,78,52,1.5745341614906831
31,blind,169,24,1.5745341614906831
232,us,99,40,1.5372670807453417
106,inside,92,43,1.5357142857142858
116,life,80,49,1.5217391304347827
15,always,81,48,1.5093167701863355
71,every,96,40,1.4906832298136645
97,head,96,40,1.4906832298136645
72,everything,96,39,1.453416149068323
192,siempre,86,42,1.4021739130434783
206,su,97,37,1.3932453416149069
235,vivir,100,35,1.358695652173913
68,esta,87,40,1.3509316770186335
114,left,73,47,1.3319099378881987
17,another,100,34,1.3198757763975155
99,heart,73,46,1.3035714285714286
156,nothing,75,44,1.281055900621118
41,cold,84,39,1.2717391304347827
241,wan,105,31,1.263586956521739
169,please,107,30,1.2461180124223603
175,rain,96,33,1.2298136645962734
195,solo,79,40,1.2267080745341614
85,give,82,38,1.2096273291925466
69,estoy,78,38,1.1506211180124224
198,something,80,37,1.1490683229813665
21,asi,197,15,1.1471273291925466
117,light,67,44,1.1444099378881987
103,hold,81,36,1.1319875776397517
98,hear,71,41,1.1300465838509317
236,voy,90,31,1.0830745341614907
220,todo,74,37,1.062888198757764
100,hell,86,31,1.0349378881987579
168,place,78,34,1.029503105590062
243,waste,98,27,1.0271739130434783
102,hey,110,24,1.0248447204968945
65,end,80,33,1.0248447204968945
105,hoy,76,34,1.0031055900621118
249,world,66,39,0.9992236024844721
131,made,67,38,0.9883540372670807
217,tiempo,70,36,0.9782608695652174
157,nunca,68,37,0.9767080745341615
155,nobody,94,26,0.9487577639751553
50,cut,82,29,0.9231366459627329
111,last,74,32,0.9192546583850931
247,without,74,32,0.9192546583850931
228,tus,71,33,0.9095496894409938
137,mis,66,35,0.8967391304347826
57,del,72,32,0.8944099378881988
104,home,62,37,0.890527950310559
70,ever,57,40,0.8850931677018633
214,things,60,38,0.8850931677018633
238,waiting,84,27,0.8804347826086957
251,wrong,62,36,0.8664596273291926
224,try,67,33,0.8583074534161491
36,broken,76,29,0.8555900621118012
51,dark,81,27,0.8489906832298136
149,nadie,82,26,0.827639751552795
61,door,62,34,0.8183229813664596
121,live,77,27,0.8070652173913043
148,nada,69,30,0.8035714285714286
222,tonight,89,23,0.7946428571428571
