,Unnamed: 0,word,totalRepetitions,fileOcurrences,weight
4,204,time,591,138,31.660714285714285
5,97,know,514,149,29.7305900621118
7,108,like,421,158,25.822204968944103
10,145,oh,404,113,17.722049689440993
11,147,one,369,123,17.61917701863354
13,174,see,339,124,16.31832298136646
15,81,got,357,117,16.214673913043477
18,77,go,307,124,14.777950310559008
20,73,get,347,98,13.201086956521738
22,194,take,296,97,11.145962732919257
23,227,want,298,92,10.642857142857142
24,139,never,246,109,10.40916149068323
25,104,let,293,89,10.123059006211179
26,79,going,285,84,9.293478260869565
29,14,away,266,87,8.983695652173912
30,230,way,242,92,8.642857142857142
33,237,yeah,244,78,7.388198757763974
34,16,back,194,98,7.380434782608695
36,172,say,209,90,7.302018633540372
37,37,could,197,90,6.882763975155281
38,32,come,181,95,6.675077639751552
42,68,feel,195,76,5.753105590062113
44,141,night,195,65,4.920419254658385
45,165,right,159,74,4.567546583850931
46,113,long,179,60,4.169254658385094
48,231,well,157,67,4.083462732919255
49,201,think,153,68,4.038819875776397
52,138,need,156,61,3.694099378881988
53,70,find,144,64,3.577639751552795
55,121,make,142,64,3.527950310559006
58,42,day,138,60,3.2142857142857144
60,74,girl,203,40,3.152173913043478
66,11,around,125,53,2.5718167701863357
70,198,tell,129,49,2.453804347826087
71,189,still,100,62,2.4068322981366457
72,234,would,111,55,2.3699534161490683
75,29,call,129,47,2.3536490683229814
76,171,said,96,62,2.31055900621118
78,114,look,111,51,2.1975931677018634
79,96,keep,115,47,2.0982142857142856
80,46,death,135,39,2.043866459627329
81,213,turn,119,43,1.986413043478261
83,117,love,89,55,1.9002329192546583
88,116,lost,91,46,1.625
89,125,mind,89,47,1.623835403726708
92,109,little,78,52,1.5745341614906831
93,218,us,99,40,1.5372670807453417
95,105,life,80,49,1.5217391304347827
96,6,always,81,48,1.5093167701863357
97,86,head,96,40,1.4906832298136643
98,61,every,96,40,1.4906832298136643
99,62,everything,96,39,1.4534161490683233
104,103,left,73,47,1.331909937888199
105,8,another,100,34,1.3198757763975155
106,88,heart,73,46,1.3035714285714286
107,143,nothing,75,44,1.281055900621118
109,156,please,107,30,1.2461180124223603
112,75,give,82,38,1.2096273291925466
114,185,something,80,37,1.1490683229813663
116,106,light,67,44,1.144409937888199
122,155,place,78,34,1.029503105590062
124,55,end,80,33,1.0248447204968945
127,233,world,66,39,0.999223602484472
128,120,made,67,38,0.9883540372670808
133,100,last,74,32,0.9192546583850932
134,232,without,74,32,0.9192546583850932
138,93,home,62,37,0.8905279503105591
139,60,ever,57,40,0.8850931677018633
140,200,things,60,38,0.8850931677018633
142,235,wrong,62,36,0.8664596273291926
143,210,try,67,33,0.8583074534161491
148,110,live,77,27,0.8070652173913043
156,83,hard,68,29,0.7655279503105591
158,137,name,88,22,0.7515527950310559
159,90,help,64,30,0.7453416149068323
160,131,much,70,27,0.7336956521739131
161,190,stop,75,25,0.7278726708074534
163,21,black,72,26,0.7267080745341615
165,146,old,56,33,0.7173913043478259
166,82,hand,52,35,0.7065217391304348
170,66,far,61,29,0.6867236024844721
171,102,leave,55,32,0.6832298136645962
172,176,show,55,32,0.6832298136645962
177,229,watch,64,26,0.6459627329192547
180,223,wait,78,21,0.6358695652173914
183,19,believe,69,23,0.6160714285714286
185,207,told,62,25,0.6017080745341615
189,168,run,55,26,0.5551242236024845
192,186,sometimes,64,22,0.546583850931677
193,167,room,52,27,0.5450310559006211
196,20,better,58,24,0.5403726708074534
198,184,someone,51,27,0.5345496894409938
199,188,stay,51,27,0.5345496894409938
202,43,days,53,25,0.5143633540372671
205,5,along,52,23,0.4642857142857143
208,130,move,51,23,0.4553571428571429
210,33,coming,61,19,0.4499223602484472
216,118,low,66,15,0.3843167701863354
